"Name","English","Afrikaans","Danish","Dutch","French","German","Italian","Norwegian","Polish","Spanish","Swedish"
"Agelong Tree","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Ahnenblatt","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Aldfaer","No","No","No","Yes","No","No","No","No","No","No","No"
"Ancestral Quest","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","partial"
"Ancestris","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Brother's Keeper","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Family Historian","Yes","No","No","No","No","No","No","No","No","No","No"
"Family Tree Builder","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Family Tree Maker (Windows)","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Family Tree Maker for Mac","Yes","No","No","No","No","No","No","No","No","No","No"
"GEDitCOM II","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes"
"Genbox Family History","Yes","No","Yes","Yes","Yes","Yes","Yes","partial","Yes","partial","partial"
"GenealogyJ","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No"
"Généatique","No","No","No","No","Yes","No","No","No","No","No","No"
"GenoPro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"GRAMPS","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Heredis","No","No","No","No","Yes","No","No","No","No","No","No"
"Heredis Mac","Yes","No","No","No","Yes","No","No","No","No","No","No"
"Heredis PC","Yes","No","No","No","Yes","No","No","No","No","No","No"
"Legacy Family Tree","Yes","public
test","Yes","Yes","public
test","Yes","public
test","Yes","No","public
test","Yes"
"LifeLines","Yes","No","Yes","No","Yes","Yes","No","No","No","No","Yes"
"MacFamilyTree","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MyBlood","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No"
"ohmiGene","Yes","No","No","No","Yes","No","No","No","No","No","No"
"Personal Ancestral File","(v4.x/5.x)","No","No","No","(v4.x)","(v4.x/5.x)","No","No","No","(v4.x)","(v5.x)"
"Reunion","Yes","No","No","Yes*","Yes*","Yes*","No","Yes*","No","No","No"
"My Family Tree","Yes","No","Yes","Yes","Yes","Yes","Partial","No","Partial","Yes","Partial"
"RootsMagic","Yes","No","No","No","No","No","No","No","No","No","No"
"rootsTrust","Yes","No","No","No","No","No","No","No","No","No","No"
"SmartGenealogy","Yes","No","No","No","Yes","No","No","No","No","No","No"
"The Master Genealogist","Yes","Yes","Yes","Yes","Yes","Yes","partial","Yes","No","No","Yes"
