"System","Documentation integration/generation, reporting","Test planning integration","Customizable workflow","Unicode support","Custom fields","SLA","Plugin API","Multiple projects","Full-text search","Indexed full-text search","Indexed file search"
"Apache Bloodhound","Yes, integrated wiki","Yes","Yes","Yes","Yes","No","Yes","Yes (as of 0.6)","Yes","Yes uses Whoosh","No"
"Assembla Tickets","Wiki syntax, email notification, linking to Subversion commits, document manager, charts, reports, notifications","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Unknown","No"
"Axosoft","Team Wiki, Burndown, GitHub and TortoiseSVN integration, dashboards, custom reports for OnPremises, e-mail notifications and alerts, customer portal, RSS","No","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"Brimir","No","No","Yes","No","No","No","No","No","No","No","No"
"Bugzilla","reporting: integrated reports and charts, scheduled reports by mail","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes When using MySQL MyISAM or Oracle Database but not PostgreSQL",""
"Debbugs","No","No","No","Yes","No","No","No","Unknown","","","No"
"FogBugz","Integrated wiki","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Fossil","Yes, Integrated Wiki in addition to integrated versioned project documentation via web ui.","No","No","No","Yes","No","No","Yes","No","No",""
"FusionForge","Yes, integrated Mediawiki, discussion forums, news blogs, email integration, export to CSV, reporting graphs","No","Yes","Yes","Yes","No","Yes","Yes","Yes","",""
"GNATS","No","No","No","No","No","No","No","Unknown","","",""
"Google Code Hosting","Wiki syntax, email notification, linking to Subversion commits, custom fields/values for issues","No","Yes","Yes","Yes","No","No","Yes","","",""
"HP Quality Center","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"IBM Rational ClearQuest","reporting: integrated charts and interface to Crystal Reports","Yes","Yes","Yes","Yes","No","No","Yes","Optional","Optional uses Solr and Lucene",""
"IBM Rational Team Concert","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","","",""
"JIRA","Dashboard with reporting widgets (Open Social) Excel, Word, customizable charts, Confluence (Enterprise wiki)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes Uses Lucene","Optional"
"Kayako SupportSuite","Knowledge base builder, reports, integrated download manager, step-by-step troubleshooter builder","No","No","Yes","Yes","Yes","Yes","Unknown","","",""
"Liberum Help Desk","No","No","No","No","No","No","No","Unknown","","",""
"LibreSource","No","No","No","Yes","No","No","No","Unknown","","",""
"MantisBT","Yes, Integration of MediaWiki, DokuWiki, XWiki","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Microsoft Dynamics CRM","reporting: integrated charts and reports, export to Excel, Mail Merge","No","Yes","Yes","Yes","No","Yes","Unknown","","",""
"org-mode","No","No","Yes","Yes","Yes","No","No","Unknown","","",""
"OTRS","Advanced reporting, configurable dashboards","No","Yes","Yes","Yes","Yes","Yes","Unknown","","",""
"Pivotal Tracker","Yes, real time collaborative story backlog, integrated reports, email notification","Yes","No","Yes","No","No","Yes","Yes","","",""
"Plain Ticket","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"Planbox","Yes, thru File sharing, RSS, User story backlog, charts, reporting engine, Open API, email notifications, custom fields for issues, time tracking, searchable labels.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Redmine","Yes, integrated wiki, discussion forums, news blogs, email integration, calendars, Gantt Charts, export to PDF, export to Excel/CSV","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Optional"
"Remedy Action Request System","With RKM, the Remedy Knowledge Base product from BMC","No","Yes","Yes","Yes","Yes","Yes","Unknown","Optional","Optional","Optional"
"Request Tracker","Yes, MediaWiki","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Roundup","wiki can be integrated or linked","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes with issues","Yes"
"StarTeam","No","Yes","Yes","No","Yes","No","No","Unknown","","",""
"Supportworks","Yes - Integrated reporting wizard, customizable PHP reporting tool, dashboard, optional interface with Crystal Reports, export to Microsoft Excel/CSV, knowledge base, optional asset management tool","No","Yes","No","Yes","Yes","Yes","Unknown","","",""
"SysAid","Yes - LDAP/Email/Calendar integration, integrated Asset Management, integrated reporting,  SSO, custom fields, export to CSV/PDF, KB","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No"
"Team Foundation Server","Yes - workflow definitions, process documentation","Yes","Yes","Yes","Yes","No","Yes","Yes","","",""
"Teamwork","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes Uses Lucene",""
"TechExcel's DevTrack","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TestTrack","Yes - Advanced reporting, integrated charts, export to Excel, workflow with triggers","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","",""
"The Bug Genie","Yes, integrated wiki","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No"
"Trac","Yes, integrated wiki","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No",""
"TrackerSuite.Net","Yes. Dashboards. Graphical reports. Integration with Crystal Reports. Reports can be exported to Microsoft Excel.","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No"
"Usersnap","Yes. Dashboards, Help Center.","No","Yes, via Tags.","Yes","Yes","Yes, available for enterprise plans","Yes","Yes","Yes","Yes","N/A"
"Web Help Desk","Dynamic request forms based on category choice, Dynamic auto-routing of request tickets, Auto FAQ generation, Integrated charts and reports, context sensitive help","No","Yes","Yes","Yes","No","No","Unknown","Partial","No",""
"Wrike","real-time customized reports, export to Excel, scheduled reports by mail, alerts, discussions, Gantt charts,","No","No","Yes","No","No","No","Unknown","","",""
"YouTrack","Yes: Wiki syntax, custom workflow, custom issue attributes, notifications (email, jabber, RSS, etc.), email integration, reports, export to HTML and CSV, integration with VCSs.","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes Uses Lucene",""
"Zoho BugTracker","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Partial","",""
"System","Dynamic documentation integration/generation","Test planning integration","Customizable workflow","Unicode support","Custom fields","SLA","Plugin API","Multiple projects","Full-text search","Indexed full-text search","Indexed file search"
