"Software","Passworded","Networking","Networking"
"Software","Passworded","User-specific permissions","Simultaneous write access"
"Aigaion","Yes","Yes","Yes"
"Bebop","No","N/A","N/A"
"BibBase","N/A","N/A","N/A"
"BibDesk","Yes","No","No"
"Biblioscape","Yes","Yes","Yes"
"BibSonomy","Yes","Yes","Yes"
"Bibus","?","?","?"
"Bookends","?","?","?"
"Citavi","Yes","Yes","Yes"
"CiteULike","Yes","No","Yes"
"colwiz","Yes","Yes","Yes"
"Docear","No","N/A","N/A"
"EndNote x7","Yes","No","No"
"JabRef","No","N/A","N/A"
"KBibTeX","No","N/A","N/A"
"Mendeley","Yes","Yes","Yes"
"Paperpile","Yes","Yes","Yes"
"Papers","?","?","?"
"Pybliographer","?","?","?"
"Qiqqa","Yes","Yes","Yes"
"ReadCube","Yes","Yes","No"
"refbase","Yes","Yes","Yes"
"RefDB","Yes","Yes","Yes"
"Reference Manager","Yes","No","Yes"
"Referencer","?","?","?"
"RefWorks","Yes","?","Yes"
"Sente","Yes","Yes","Yes"
"Wikindx","Yes","Yes","Yes"
"WizFolio","Yes","Yes","Yes"
"Zotero","Yes","Yes","Yes"
