"System","Office Integration","Multi Lingual","Languages Supported","Web-Based","Time Tracking","Attaching Emails to Business Objects","Desktop Environment","Global Search","LDAP Support"
"AddressTwo","via Google Docs","No","en","Yes","Yes","?","?","?","?"
"Adempiere","?","?","?","?","?","?","?","?","?"
"Base CRM","Yes","No","(English)","Yes","Yes","Yes","?","?","?"
"Casengo","No","Yes","en, nl, de, ru","Yes","Yes","?","?","?","?"
"CiviCRM","?","Yes","Yes","Yes","?","?","?","?","?"
"Microsoft Dynamics CRM","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"EpesiCRM","Any type of file attachments","Yes","bg, cs, de, en, es, fa, fr, it, nl, pl, pt, ru, sl, zh","Yes","Yes","Yes","?","?","?"
"GNU Enterprise","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Group-Office","Yes","Yes","Over 20 languages","Yes","Yes","?","?","?","?"
"LeadMaster","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Nutshell CRM","Google Apps, Microsoft Exchange","No","(English)","Yes","No","Yes","?","Yes","?"
"Odoo CRM","Yes","Yes","bg, de, en, es, fi, fr, hu, it, nl, pl, pt, pt-br, ru, tr, zh-cn","Yes","Yes","Yes","Yes","No","Yes"
"Pivotal CRM","Yes","Yes","Yes","Web/Windows","?","Yes","?","Yes","Yes"
"Really Simple Systems","Yes","No","en","Yes","No","?","?","?","?"
"SageCRM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Salesforce.com","Yes","Yes","en, fi, fr, de, es, it, ja, ko, pt-br, ru, sv, th, zh-cn, zh-tw, da, nl-nl","Yes","Yes","?","?","?","No"
"Siebel","Yes","Yes","Yes","Yes","No","Yes","?","?","Yes"
"Streak","via Google Docs","Yes","de, en, es, fr, it, nl, pl, pt, pt-br, ru, zh-cn","Yes","No","?","?","?","?"
"SugarCRM","If you use Exchange, Riva provides native support for Snow Leopard Mac iCal, Mail and Address Book and Microsoft Entourage for Mac.","Yes","26 languages","Yes","Yes","?","?","No","Yes"
"SuiteCRM","Via Plugin","Yes","en, es, ru","Yes","Yes","Yes","No","Yes","Yes"
"SuperOfficeCRM","Yes","Yes","cn, de, dk, en, es, fi, fr, it, jp, nl, no, ru, se, zh","Yes","Yes","?","?","?","?"
"TeamLab","Yes","Yes","en, de, fr, es, it, ru, lat","Yes","Yes","?","?","?","?"
"TeamWox","Yes","Yes","30 languages","Yes","Yes","?","?","?","?"
"Tryton","?","Yes","bg, ca, cs, de, en, es-ar, es-co, es-es,  fr, nl, ru, sl","No","Yes","?","?","?","?"
"WebCRM","Yes","Yes","en, de, dk, fi, se, nl, no","Yes","Yes","?","?","?","?"
"Workbooks.com","Yes","Yes","en, but supports UTF8","Yes","Yes","Yes","Yes","Yes","No"
"WORKetc","Outlook Addon and Google Docs","Yes","de, en, es, fr, it, nl","Yes","Yes","Yes","?","Yes","?"
"Vtiger CRM","Office plugin also outlook.","Yes","Yes","Yes","?","Yes","?","Yes","No"
"Zoho CRM","outlook.","Yes","-","zh-cn, da, nl, en, fr, de, it, ja, pl, pt, es, sv, tr","Yes","?","?","?","?"
