"","Native network encryption","Brute-force protection","Enterprise directory compatibility","Password complexity rules","Patch access","Run unprivileged","Audit","Resource limit","Separation of duties (RBAC)","Security Certification","Label Based Access Control (LBAC)"
"4D","Yes (with SSL)","?","Yes","?","Yes","Yes","?","?","?","?","?"
"Adaptive Server Enterprise","Yes (optional; to pay)","Yes","Yes (optional ?)","Yes","Partial (need to register; depend on which product)","Yes","Yes","Yes","Yes","Yes (EAL4+ )","?"
"Advantage Database Server","Yes","No","No","No","Yes","Yes","No","No","Yes","?","?"
"DB2","Yes","?","Yes (LDAP, Kerberos…)","Yes","?","Yes","Yes","Yes","Yes","Yes (EAL4+)","?"
"Empress Embedded Database","?","?","No","No","Yes","Yes","Yes","No","Yes","No","?"
"EXASolution","No","No","Yes (LDAP)","No","Yes","Yes","Yes","Yes","Yes","No","?"
"Firebird","No","Yes","Yes (Windows trusted authenification)","No","Partial (no security page)","Yes","Yes","No","No","?","?"
"HSQLDB","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","?"
"H2","Yes","Yes","?","No","?","Yes","?","Yes","Yes","No","?"
"Informix Dynamic Server","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Linter SQL RDBMS","Yes (with SSL)","Yes","Yes","Yes (length only)","No","Yes","Yes","Yes","Yes","Yes","Yes"
"MariaDB","Yes (SSL)","No","Yes (with 5.2, but not on Windows servers)","Yes","Partial (no security page)","Yes","?","?","?","No","?"
"Microsoft SQL Server","Yes","?","Yes (Microsoft Active Directory)","Yes","Yes","Yes","Yes (From 2008)","Yes","Yes","Yes (EAL4+)","?"
"Microsoft SQL Server Compact (Embedded Database)","No (not relevant, only file permissions)","No (not relevant)","No (not relevant)","No (not relevant)","Yes","Yes (file access)","Yes","Yes","No","?","?"
"MySQL","Yes (SSL with 4.0)","No","Yes (with 5.5, but only in commercial edition)","No","Partial (no security page)","Yes","?","?","?","No","?"
"OpenBase SQL","Yes","?","Yes (Open Directory, LDAP)","No","?","?","?","?","?","?","?"
"OpenLink Virtuoso","Yes","Yes","Yes","Yes (optional)","Yes (optional)","Yes","Yes (optional)","Yes (optional)","Yes","No","?"
"Oracle","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes (EAL4+)","?"
"Pervasive PSQL","Yes","?","No","No","Yes","Yes","Yes","No","No","No","?"
"Polyhedra DBMS","Yes  (with SSL. Optional)","No","No","No","No","Yes","Yes","Yes","Yes","No","?"
"PostgreSQL","Yes","Yes (for 9.1)","Yes (LDAP, Kerberos…)","Yes (as of 9.0 with passwordcheck module)","Yes","Yes","No","Yes","Yes","Yes (EAL1)","?"
"RDM Embedded","No","No","No","No","No","Yes","No","No","No","No","?"
"RDM Server","Yes","No","No","No","No","Yes","Yes","No","Yes","No","?"
"solidDB","No","No","Yes","No","No","Yes","Yes","No","No","No","No"
"SQL Anywhere","Yes","?","Yes (Kerberos)","Yes","?","Yes","Yes","No","Yes","Yes (EAL3+ as Adaptive Server Anywhere)","?"
"SQLite","No (not relevant, only file permissions)","No (not relevant)","No (not relevant)","No (not relevant)","Partial (no security page)","Yes (file access)","Yes","Yes","No","No","?"
"","Native network encryption","Brute-force protection","Enterprise directory compatibility","Password complexity rules","Patch access","Run unprivileged","Audit","Resource limit","Separation of duties (RBAC)","Security Certification","Label Based Access Control (LBAC)"
