"Calculator","TI-BASIC","Native code","Lua"
"TI-73, TI-73 Explorer","Yes","Yes","No"
"TI-80","Yes","No","No"
"TI-81","Yes","Only using exploits","No"
"TI-82","Yes","Only using exploits","No"
"TI-83","Yes","Yes","No"
"TI-83 Plus","Yes","Yes","No"
"TI-83 Plus Silver Edition","Yes","Yes","No"
"TI-84 Plus","Yes","Yes","No"
"TI-84 Plus Silver Edition","Yes","Yes","No"
"TI-84 Plus C Silver Edition","Yes","Yes","No"
"TI-85","Yes","Only using exploits","No"
"TI-86","Yes","Yes","No"
"TI-89","Yes","Yes","No"
"TI-89 Titanium","Yes","Yes","No"
"TI-92, TI-92 II","Yes","Only using exploits","No"
"TI-92 Plus","Yes","Yes","No"
"Voyage 200","Yes","Yes","No"
"TI-Nspire, TI-Nspire CAS","Yes","Only using exploits","Yes"
"TI-Nspire CX, TI-Nspire CX CAS","Yes","Only using exploits","Yes"
