"","ACID","Referential integrity","Transactions","Fine-grained locking","Unicode","Interface"
"4th Dimension","Yes","Yes","Yes","?","Yes","GUI & SQL"
"ADABAS","Yes","No","Yes","?","Yes","proprietary direct call & SQL (via 3rd party)"
"Adaptive Server Enterprise","Yes","Yes","Yes","?","Yes","SQL"
"Advantage Database Server","Yes","Yes","Yes","Yes (Row-level locking)","Yes","API & SQL"
"Altibase","Yes","Yes","Yes","Yes (Row-level locking)","Yes","API & GUI & SQL"
"Apache Derby","Yes","Yes","Yes","?","Yes","SQL"
"ClustrixDB","Yes","Yes","Yes","?","Yes","SQL"
"CUBRID","Yes","Yes","Yes","Yes (Row-level locking)","Yes","GUI & SQL"
"Drizzle","Yes","Yes","Yes","?","Yes","SQL"
"DB2","Yes","Yes","Yes","Yes (Row-level locking)","Yes","GUI & SQL"
"Empress Embedded Database","Yes","Yes","Yes","?","Yes","API & SQL"
"EXASolution","Yes","Yes","Yes","?","Yes","API & GUI & SQL"
"Firebird","Yes","Yes","Yes","?","Yes","SQL"
"HSQLDB","Yes","Yes","Yes","?","Yes","SQL"
"H2","Yes","Yes","Yes","?","Yes","SQL"
"Informix Dynamic Server","Yes","Yes","Yes","Yes (Row-level locking)","Yes","SQL and JSON"
"Ingres","Yes","Yes","Yes","?","Yes","SQL & QUEL"
"InterBase","Yes","Yes","Yes","?","Yes","SQL"
"Linter SQL RDBMS","Yes","Yes","Yes (Except for DDL)","Yes (Row-level locking)","Yes","API & GUI & SQL"
"LucidDB","Yes","No","No","?","Yes","SQL"
"MariaDB","Yes","Partial","Yes except for DDL","Yes (Row-level locking)","Yes","SQL"
"MaxDB","Yes","Yes","Yes","?","Yes","SQL"
"Microsoft Access (JET)","Yes","Yes","Yes","?","Yes","GUI & SQL"
"Microsoft Visual FoxPro","No","Yes","Yes","?","No","GUI & SQL"
"Microsoft SQL Server","Yes","Yes","Yes","Yes (Row-level locking)","Yes","GUI & SQL"
"Microsoft SQL Server Compact (Embedded Database)","Yes","Yes","Yes","?","Yes","GUI & SQL"
"MonetDB","Yes","Yes","Yes","?","Yes","SQL"
"MySQL","Yes","Partial","Yes except for DDL","Yes (Row-level locking)","Yes","GUI  & SQL"
"OpenBase SQL","Yes","Yes","Yes","?","Yes","GUI & SQL"
"Oracle","Yes","Yes","Yes except for DDL","Yes (Row-level locking)","Yes","API & GUI & SQL"
"Oracle Rdb","Yes","Yes","Yes","?","Yes","SQL"
"OpenLink Virtuoso","Yes","Yes","Yes","?","Yes","API & GUI & SQL"
"Pervasive PSQL","Yes","Yes","Yes","?","Yes","API & GUI & SQL"
"Polyhedra DBMS","Yes","Yes","Yes","Yes (optimistic and pessimistic cell-level locking)","Yes","API & SQL"
"PostgreSQL","Yes","Yes","Yes","Yes (Row-level locking)","Yes","API & GUI & SQL"
"RDM","Yes","Yes","Yes","?","Yes","SQL & API"
"RDM Server","Yes","Yes","Yes","?","Yes","SQL & API"
"ScimoreDB","Yes","Yes","Yes","?","Partial","SQL"
"solidDB","Yes","Yes","Yes","Yes (Row-level locking)","Yes","API & SQL"
"SQL Anywhere","Yes","Yes","Yes","?","Yes","SQL"
"SQLBase","Yes","Yes","Yes","?","Yes","API & GUI & SQL"
"SQLite","Yes","Yes","Yes","No (Database-level locking)","Optional","API & SQL"
"Teradata","Yes","Yes","Yes","?","Yes","SQL"
"Tibero","Yes","Yes","Yes","Yes (Row-level locking)","Yes","API & GUI & SQL"
"UniData","Yes","No","Yes","?","Yes","Multiple"
"UniVerse","Yes","No","Yes","?","Yes","Multiple"
"","ACID","Referential integrity","Transactions","Fine-grained locking","Unicode","Interface"
