"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"ActionScript 3.0","Application, client-side, Web","Yes","Yes","","","","","Yes","","1996, ECMA"
"Ada","Application, embedded, realtime, system","Yes","Yes","","Yes","Yes","","","concurrent, distributed, imperative object-oriented","1983, 2005, 2012, ANSI, ISO, GOST 27831-88"
"Aldor","Highly domain-specific, symbolic computing","Yes","Yes","Yes","","","","","","No"
"ALGOL 58","Application","Yes","","","","","","","","No"
"ALGOL 60","Application","Yes","","","","","","","","1960, IFIP WG 2.1, ISO"
"ALGOL 68","Application","Yes","","","","","","","concurrent","1968, IFIP WG 2.1, GOST 27974-88,"
"Ateji PX","Parallel application","","Yes","","","","","","pi calculus","No"
"APL","Application, data processing","","","","","","","","array-oriented, tacit","1989, ISO"
"Assembly language","General","Yes","","","","","","","any, syntax is usually highly specific, related to the target processor","No"
"AutoHotkey","GUI automation (macros), highly domain-specific","Yes","","","","","","","","No"
"AutoIt","GUI automation (macros), highly domain-specific","Yes","","","Yes","","","Yes","","No"
"Bash","Shell, scripting","Yes","","","Yes","","","","",""
"BASIC","Application, education","Yes","","","Yes","","","","","1983, ANSI, ISO"
"BBj","Application, business, Web","","Yes","","Yes","","","","","No"
"BeanShell","Application, scripting","Yes","Yes","Yes","","","Yes","","","In progress, JCP"
"BitC","System","Yes","","Yes","","","","","","No"
"BLISS","System","","","","Yes","","","","","No"
"BlitzMax","Application, game","Yes","Yes","","Yes","","","","","No"
"Boo","Application","","","","","","","","","No"
"Bro","domain-specific, application","Yes","","","","","","Yes","","No"
"C","Application, system, general purpose, low-level operations","Yes","","","Yes","","","","","1989, ANSI C89, ISO C90, ISO C99, ISO C11"
"C++","Application, system","Yes","Yes","Yes","Yes","Yes","","","","1998, ISO/IEC 1998, ISO/IEC 2003, ISO/IEC 2011"
"C#","Application, RAD, business, client-side, general, server-side, Web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","structured, concurrent","2000, ECMA, ISO"
"Clarion","General, business, Web","Yes","Yes","Yes","","","","","","Unknown"
"Clean","General","","","Yes","","Yes","","","","No"
"Clojure","General","","","Yes","","","","","concurrent","No"
