"Name","Windows","Mac","Linux","Other OS","Open source","Online backup service","Freeware version","Portable","Encrypts files","Detect conflict","File lock","Open file support","Revision control","Detect rename","Detect move","Full duplex transfer","Propagate deletes","Case sensitive","Delta copying (block level transfer)","LAN Sync","Sync any directory","On-premise","Cross Cloud Sharing","External Storage","File Level Distribution Control",""
"@MAX SyncUp","Yes","No","No","No","No","via other providers","Yes, with limits","No","","Yes","Yes","Yes","","No","No","","Yes","","Yes","Yes","","","","","",""
"Acrosync (rsync client)","Yes","Yes","No","Yes, iOS, Android","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","","","","",""
"AeroFS","Yes","Yes","Yes","Yes, iPhone, Android","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","","","","",""
"Allway Sync","Yes","No","No","No","No","via other providers","Yes, with limits","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","Yes","","","Yes","Yes","","","","",""
"AIMstor","Yes","No","No","No","No","No","Yes, with limits","Yes","","Yes","Yes","Yes","Yes through VSS","Yes","Yes","Yes","Yes","","No case preserving","","","","","","",""
"Argentum Backup","Yes","No","No","No","No","No","No","Yes","","","","No","Yes","","","","","Yes","","","","","","","",""
"BackupAssist","Yes","No","No","No","No","via Rsync","No","","","No","","Yes","","","","","","","","","","","","","",""
"Backup4all","Yes","No","No","No","No","","Yes","Yes","","No","","Yes","Yes","","","","Yes","","","","","","","","",""
"BatchSync","Yes","No","No","No","No","Yes, with limits","No","No","","Yes","No","No","","","Yes","Yes","Yes","","","","Yes","","","","",""
"Biscom Verosync","Yes","Yes","No","Yes, iPhone, Android","No","No","No","No","","Yes","No","No","Yes","Yes","Yes","Yes","Yes","","No","Yes","Yes","","","","",""
"BitTorrent Sync","Yes","Yes","Yes","Yes, Android, iOS, Windows Phone, Amazon Kindle Fire, FreeBSD","No","No","Yes, with limits","No","Yes, optional","No","No","No","Yes (previous versions moved to archive folder)","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","",""
"Box Sync","Yes","Yes","No","Yes, Android, BlackBerry, iOS","No","Yes","Yes, with limits","","","Yes","?","?","Yes","?","?","?","Yes","?","","No","","","","","",""
"ChronoSync","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Cloudike","Yes","Yes","No","Yes, iPhone, Android","No","Yes","Yes","No","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","",""
"CloudMe","Yes","Yes","Yes","Yes, iPhone, Android, Google TV, Samsung TV","No","Yes","Yes","No","","Yes","?","?","No","Yes","No","?","?","Yes","?","No","Yes","","","","",""
"Cubby - Free","Yes","Yes","No native client, can access via WebDav","No","No","Yes","No","No","","Yes Renames older and keeps both","No","","Yes","Yes","Yes","?","Yes","","No","No","Yes","","","","",""
"Cubby - Pro","Yes","Yes","No native client, can access via WebDav","No","No","Yes","No","No","","Yes Renames older and keeps both","No","","Yes","Yes","Yes","?","Yes","","Only when using LAN Sync","Yes","Yes","","","","",""
"Distributed Storage","Yes","No","Yes","No","No","via other providers","No","","","Yes","Yes","Yes","","","","","","","","","","","","","",""
"Dmailer Sync (discontinued)","Yes","No","No","No","No","Yes","Yes","","","","","","","","","","","","","","","","","","",""
"Dropbox","Yes","Yes","Yes","Yes, Android, iPhone, BlackBerry","No","Yes","Yes","No","","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No","No","","","",""
"Easy2Sync for Files","Yes","No","No","No","No","","Yes","","","Yes","","","Yes","Yes, for folders","","","","","","","","","","","",""
"EDpCloud EnduraData","Yes","Yes","Yes","Yes, Solaris, Linux, UNIX","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes, case preserving, meta data preserving","Yes","Yes","Yes","","","","",""
"Egnyte","Yes","Yes","Yes","Yes, Android, iPad, iPhone","No","Yes","No","No","","No, handled by versioning","Yes","No","Yes","Yes","Yes","Yes","Yes","No, case preserving","Yes","Yes","Yes","","","","",""
"FileRock","Yes","Yes","Yes","No","Yes","Yes","No","Yes","","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","","","","",""
"Gladinet","Yes","Yes","Yes, with browser client","Yes, Android, iPad, iPhone, Windows RT, Blackberry","No","Yes, with limits","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","",""
"GoodSync","Yes","Yes","Yes","Yes, Android, iPad, iPhone, USB flash drive","No","Yes, with limits","Yes","Yes","Yes, beta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","",""
"Handy Backup","Yes","No","Yes","Yes","No","Yes","Yes","","","No","","","","","","","","","","","","","","","",""
"HORNETDRIVE","Yes","Yes","Yes","Yes, Android, iOS","No","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","No","No","Yes","","","","",""
"IBM Connections","Yes","Yes","No, use CMIS plugins","Yes, Android, iOS","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","","",""
"Inbox Storage","Yes","No","No","Yes, Android, iPhone, Windows Phone","No","Yes","Yes","No","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","","No","No","","","","",""
"MediaFire","Yes","Yes","Native uploader Only, SDK available","Yes, Android, iOS","No","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","","","","",""
"Mega","Yes","Yes","Yes","Yes, Android, iPhone, BlackBerry","No","Yes","Yes","","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","","","",""
"ownCloud","Yes","Yes","Yes","Yes","Yes","Yes, but not supported","Yes, with limits","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No (would have to be storage feature)","",""
"PowerFolder","file system / network / cloud","Java","Yes","Yes","Yes","Yes","GPL (Free Version)","2014-01-01 = 9.1.54","","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","","","","","",""
"RepliWeb","Yes","No","Yes","Yes","No","No","No","","","Yes, partial","","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","",""
"Robocopy","Yes","No","No","No","No","No","Yes","No","","No","","","","","","","","","","","","","","","",""
"SecureSafe","Yes","Yes","No","Yes, Android, iOS","No","No","Yes","","","Yes","No","","Yes, previous versions moved to trash folder","No","No","No","Yes","Yes","No","No","Yes","","","","",""
"SecuriSync","Yes","Yes","No","Yes, Android, iPhone, BlackBerry","No","Yes","No","","","Yes","Yes","","Yes","No","No","Yes","Yes","Yes","","","Yes","","","","",""
"SpiderOak","Yes","Yes","Yes","Yes, Android, iPhone","Partial","Yes","Yes","","","No","","","Yes","No","","No, one-way sharing only","","","Yes","Yes","Yes","","","","",""
"ShareFile","Yes","Yes","No","Yes, Android, iPhone","No","Yes","Yes","","Yes","","","","Yes","Yes","","Yes","","Yes","","Yes","Yes","No","","","",""
"SugarSync","Yes","Yes","No","Yes, Android, BlackBerry, iPhone, Windows Mobile","No","Yes","No","No","","Yes","","","Yes","Yes","Yes","","Yes","","","","Yes","","","","",""
