"Client","Windows","Mac OS X","Linux","BSD","Unix","AmigaOS"
"3D-FTP","Yes","No","No","No","No","No"
"AbsoluteTelnet","Yes","No","No","No","No","No"
"ALFTP","Yes","No","No","No","No","No"
"Beyond Compare","Yes","Yes","Yes","No","No","No"
"Beyond FTP","Yes","No","No","No","No","No"
"BitKinex","Yes","No","No","No","No","No"
"Captain FTP","No","Yes","No","No","No","No"
"Classic FTP","Yes","Yes","No","No","No","No"
"CoreFTP","Yes","No","No","No","No","No"
"CrossFTP","Yes","Yes","Yes","Yes","Yes","Yes"
"cURL (CL)","Yes","Yes","Yes","Yes","Yes","Yes"
"CurlFtpFS","No","Yes","Yes","Yes","No","No"
"CuteFTP","Yes","Yes","No","No","No","No"
"Cyberduck","Yes","Yes","No","No","No","No"
"Directory Opus","Yes","No","No","No","No","Yes"
"ExpanDrive","Yes","Yes","No","No","No","No"
"FAR Manager","Yes","No","No","No","No","No"
"Fetch","No","Yes","No","No","No","No"
"FileZilla","Yes","Yes","Yes","Yes","Yes","No"
"FireFTP","Yes","Yes","Yes","Yes","Yes","No"
"FlashFXP","Yes","No","No","No","No","No"
"Fling FTP","Yes","No","No","No","No","No"
"FRENDS Cobalt","Yes","No","No","No","No","No"
"FTP!","Yes","No","No","No","No","No"
"FTP Client","No","Yes","No","No","No","No"
"FTP Commander","Yes","No","No","No","No","No"
"FTP Explorer","Yes","No","No","No","No","No"
"FTP Script!","Yes","No","No","No","No","No"
"FTP Voyager","Yes","No","No","No","No","No"
"Fugu","No","Yes","No","No","No","No"
"FTP Rush","Yes","No","No","No","No","No"
"gFTP","No","Yes","Yes","Yes","Yes","No"
"GoAnywhere Director","Yes","Yes","Yes","Yes","Yes","No"
"Interarchy","No","Yes","No","No","No","No"
"LeechFTP","Yes","No","No","No","No","No"
"lftp (CL)","Yes (cygwin)","Yes","Yes","Yes","Yes","No"
"Macfusion","No","Yes","No","No","No","No"
"Mosaic","Yes","Yes","No","No","Yes","Yes"
"NcFTP (CL)","Yes","Yes","Yes","Yes","Yes","Yes"
"net2ftp (webbased)","Yes","Yes","Yes","Yes","Yes","Yes"
"pbFtpClient","Yes","No","No","No","No","Yes"
"PSFTP (PuTTY) (CL)","Yes","No","Yes","Yes","Yes","No"
"Robo-FTP","Yes","No","No","No","No","No"
"rwBackup","No","Yes","No","No","No","No"
"SFTPPlus","Yes","No","Yes","No","Yes","No"
"Secure FTP","Yes","Yes","Yes","Yes","Yes","Yes"
"SmartFTP","Yes","No","No","No","No","No"
"Steed","Yes","No","No","No","No","No"
"Swish","Yes","No","No","No","No","No"
"Sysax FTP Automation","Yes","No","No","No","No","No"
"Total Commander","Yes","No","No","No","No","No"
"Transmit","No","Yes","No","No","No","No"
"UploadFTP","Yes","No","No","No","No","No"
"WebDrive","Yes","Yes","No","No","No","No"
"WinSCP","Yes","No","No","No","No","No"
"WISE-FTP","Yes","No","No","No","No","No"
"WS_FTP","Yes","No","No","No","No","No"
"AnyClient","Yes","Yes","Yes","Yes","Yes","No"
"Yummy FTP","No","Yes","No","No","No","No"
"","","","","","",""
