"BitTorrent client","GUI","Web","CLI","Other","Programming language","Based on","IPv6","µTP"
"ABC","Yes","Yes","No","No","Python","BitTornado","buggy","No"
"Acquisition","Yes","No","No","No","Objective-C, Cocoa","Limewire","No","No"
"BitComet","Yes","Yes","Partial","No","C++","-","No","No"
"BitLet","No","Yes","No","No","Java Applet","-","No","No"
"BitLord","Yes","No","No","No","Python, C++","libtorrent (Rasterbar)","Yes","No"
"BitTornado","Yes","No","Partial","No","Python","BitTorrent","Yes","No"
"BitTorrent 5, Mainline","Yes","No","Partial","No","Python","-","No","No"
"BitTorrent 6","Yes","Yes","Partial","No","C++","µTorrent","Yes","Yes"
"BitTyrant","Yes","Yes","Partial","Telnet, XML over HTTP remote control API","Java, SWT","Azureus","Yes","No"
"Blog Torrent","Yes","No","No","No","?","?","No","No"
"Deluge","Yes","Yes","Yes","Daemon","Python, C++","libtorrent (Rasterbar)","Yes","No"
"FlashGet","Yes","No","No","No","?","?","No","No"
"Free Download Manager","Yes","Yes","Partial","No","C++","libtorrent (Rasterbar)","No","No"
"Frostwire","Yes","No","No","No","Java","LimeWire","No","Yes"
"KGet","Yes","Yes","Partial","No","C++","-","Yes","No"
"KTorrent","Yes","Yes","Partial","No","C++","-","Yes","Yes"
"LimeWire","Yes","No","No","No","Java","libtorrent (Rasterbar)","No","No"
"Meerkat Bittorrent Client","Yes","No","No","No","C++","-","No","No"
"Miro","Yes","No","No","No","C++","libtorrent (Rasterbar)","No","No"
"MLDonkey","Network GUI","Yes","Partial","Telnet","OCaml","-","No","No"
"µTorrent","Yes","Yes","No","RESTful Web API","C++","-","Yes","Yes"
"OneSwarm","Partial","Yes","No-partial","No","Java","Azureus","Yes","No"
"Opera 12","Yes","No","No","No","C++","-","Yes","No"
"qBittorrent","Qt (toolkit)","Yes","Partial","No","C++, Python","libtorrent (Rasterbar)","Yes","Yes"
"rTorrent","No","Third Party","Yes","SCGI","C++","libTorrent (Rakshasa)","No","No"
"Shareaza","Yes","Yes","Partial","No","C++","-","No","No"
"SymTorrent","Yes","No","No","No","?","?","No","No"
"Tixati","Yes","Yes","No","No","C++","-","Yes","Yes"
"Tomato Torrent","Yes","No","No","No","Cocoa","BitTorrent","No","No"
"Tonido Torrent","No","Yes","No","No","C++","libtorrent (Rasterbar)","No","No"
"TorrentFlux","No","Yes","No","No","PHP","BitTornado","No","No"
"Transmission","Yes","Yes","Yes","Daemon, JSON-RPC over HTTP remote control API","C","-","Yes","Yes"
"Tribler","Yes","Partial","Partial","No","Python,C++","libtorrent (Rasterbar)","No","Yes"
"Vuze (formerly Azureus)","Yes","Yes","Partial","Telnet, XML over HTTP remote control API","Java, SWT","-","Yes","Yes"
"BitTorrent client","GUI","Web","CLI","Other","Programming language","Based on","IPv6","µTP"
