"Tools","User Interface","Create & Alter wizard","Create & Alter wizard","Create & Alter wizard","Create & Alter wizard","Browse","Browse","Browse","Browse","Auto Completion","Syntax colored","Multi server support","Monitoring server"
"Tools","User Interface","Database","Table","Procedure","Trigger","Database","Table","Procedure","Trigger","Auto Completion","Syntax colored","Multi server support","Monitoring server"
"Adminer","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"Altova DatabaseSpy","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DaDaBIK","Browser-based","No","Some","No","No","No","Some","No","No","No","No","No","?"
"Database Deployment Manager","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?"
"Database Workbench","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DBEdit","desktop","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","?"
"Devgems Data Modeler","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"DeZign for Databases","desktop","Yes","Some","Yes","Yes","Yes","Some","Yes","Yes","No","Yes","?","?"
"Embarcadero DBArtisan","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Epictetus","desktop","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Microsoft SQL Server Management Studio","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"ModelRight","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"MySQL Workbench","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Some"
"Navicat","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Navicat Data Modeler","desktop","No","Yes","No","Yes","No","No","No","No","No","No","Yes","?"
"Oracle Enterprise Manager","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Oracle SQL Developer","desktop","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?"
"Orbada","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"pgAdmin III","TDI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","?"
"phpLiteAdmin","Browser-based","Yes","Yes","No","No","Yes","Yes","No","No","No","No","?","?"
"phpMyAdmin","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?"
"phpPgAdmin","Browser-based","?","?","?","?","?","?","?","?","?","?","?","?"
"SQL Database Studio","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SQLyog","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"SQuirreL SQL","desktop","?","?","?","?","Yes","Yes","?","?","Yes","Yes","Some","?"
"Toad","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Toad Data Modeler","desktop","Yes","Yes","Yes","Yes","Some","Some","Some","Some","No","Yes","?","?"
"TOra","desktop","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
