"","Single precision","Double precision","Other precision","Processor dependent"
"Ada","","","N/A",""
"ALGOL 68","","",", , etc.",""
"C","","","",""
"C++ (STL)","","","",""
"Objective-C (Cocoa)","","","",""
"C#","","","N/A",""
"Java","","","",""
"Go","","","",""
"Swift","","","",""
"D","","","",""
"Common Lisp","","","",""
"Scheme","","","",""
"ISLISP","","","",""
"Pascal (Free Pascal)","","","",""
"Visual Basic","","","N/A",""
"Visual Basic .NET","","","",""
"Xojo","","","",""
"Python","N/A","","",""
"JavaScript","","N/A","",""
"S-Lang","","","",""
"Fortran","","","",""
"PHP","","","",""
"Perl","","","",""
"Perl 6","","","",""
"Ruby","N/A","","N/A",""
"Scala","","","",""
"Seed7","N/A","","",""
"Smalltalk","","","",""
"Windows PowerShell","","","",""
"OCaml","N/A","","N/A",""
"F#","","","",""
"Standard ML","N/A","","",""
"Haskell (GHC)","","","",""
"Eiffel","","","",""
"COBOL","","","",""
"Mathematica","N/A","N/A","",""
