"Reader ","Plain text","PDF","ePub","HTML","Mobi- Pocket","Fiction- Book (Fb2)","DjVu","Broadband eBook (BBeB)","eReader","Kindle","WOLF","Tome Raider","Open eBook","Comic Book","OpenXPS"
"Amazon Kindle 1","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Amazon Kindle 2, DX","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Amazon Kindle 3","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Amazon Kindle Fire","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Android Devices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","?","Yes"
"Apple iOS Devices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","?"
"Azbooka WISEreader","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Barnes & Noble Nook","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","?","?"
"Barnes & Noble Nook Color","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"Bookeen Cybook Gen3, Opus","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","?","?"
"COOL-ER Classic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","?","?"
"GNU/Linux Operating System","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes","Yes"
"Foxit eSlick","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","?","?"
"Hanlin e-Reader V3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","?","?"
"Hanvon WISEreader","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"iRex iLiad","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","?","?"
"Iriver Story","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","?","?"
"Kobo eReader","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","?"
"Nokia N900","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","?"
"NUUTbook 2","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","?","?"
"OLPC XO, Sugar","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","?","?"
"Onyx Boox 60","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"Mac OS X","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes","?","?"
"TrekStor eBook Reader Pyrus","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","?","?","?"
"Windows","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes","?","Yes"
"Pocketbook 301 Plus, 302, 360°","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"Pocketbook Aqua","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"Sony Reader","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","?","?"
"Viewsonic VEB612","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","?","?"
"Windows Phone 7","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","?","?"
