"Implementation","/dev/crypto","Windows CSP","CommonCrypto","OpenSSL engine"
"Botan","No","No","No","No"
"cryptlib","No","No","No","No"
"GnuTLS","Yes","No","No","No"
"JSSE","No","Yes","No","No"
"LibreSSL","Yes","No","No","Yes"
"MatrixSSL","No","No","Yes","Yes"
"mbed TLS","No","No","No","No"
"NSS","No","No","No","No"
"OpenSSL","Yes","No","No","Yes"
"RSA BSAFE","No","No","No","No"
"SChannel","No","Yes","No","No"
"Secure Transport","No","No","Yes","No"
"SharkSSL","No","No","No","No"
"wolfSSL","No","Partial","No","No"
"Implementation","/dev/crypto","Windows CSP","CommonCrypto","OpenSSL engine"
