"","AIX","*BSD","HP-UX","Linux","Mac OS X","Solaris","Windows","Others"
"Ansible","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bcfg2","Partial","Yes","No","Yes","Partial","Yes","No","No"
"CFEngine","Yes","Yes","No","Yes","No","Yes","Partial","Yes"
"cdist","","Yes","","Yes","Yes","","No",""
"Chef","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ISconf","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Juju","","","","Yes","","","",""
"Local ConFiGuration system (LCFG)","No","No","No","Partial","Partial","Partial","No","No"
"OCS Inventory NG","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Open pc server integration (Opsi)","No","No","No","Yes","No","No","Yes","No"
"PIKT","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Puppet","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes"
"Quattor","No","No","No","Yes","Partial","Yes","No","No"
"Radmind","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Rex","","Yes","","Yes","Yes","Yes","Yes","No"
"Rudder","Yes","Partial","No","Yes","Partial","Partial","Yes","Yes"
"Rundeck","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SmartFrog","No","No","Yes","Yes","Yes","Yes","Yes","No"
"Salt","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Partial"
"Spacewalk","No","No","No","Yes","No","Yes","No","No"
"STAF","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Synctool","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Vagrant","","","","Yes","Yes","","Yes",""
