"Implementation","Application-defined","PKIX path validation","CRL","OCSP","DANE (DNSSEC)","Trust on First Use (TOFU)"
"Botan","Yes","Yes","Yes","Yes","No","No"
"cryptlib","Unknown","Yes","Unknown","Unknown","No","No"
"GnuTLS","Yes","Yes","Yes","Yes","Yes","Yes"
"JSSE","Yes","Yes","Yes","Yes","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","No","No"
"MatrixSSL","Yes","Yes","Yes","No","No","No"
"mbed TLS","Yes","Yes","Yes","Unknown","No","No"
"NSS","Yes","Yes","Yes","Yes","No","No"
"OpenSSL","Yes","Yes","Yes","Yes","No","No"
"RSA BSAFE","Yes","Yes","Yes","Yes","No","No"
"SChannel","Unknown","Yes","Yes","Yes","No","No"
"Secure Transport","Yes","Yes","Yes","Yes","No","No"
"SharkSSL","Yes","Yes","No","No","No","No"
"wolfSSL","Yes","Yes","Yes","Yes","No","No"
"Implementation","Application-defined","PKIX","CRL","OCSP","DANE","TOFU"
