"File Manager","File compression","File encryption","Rename busy files","File preview","File coloring filter","File selection filter","Paste clipboard as file","File and folder reports","ACL (Access control list)","Mass Rename"
"Altap Salamander","Yes","Yes","?","Yes","Yes","Yes, multiple","?","Yes","Yes","Yes"
"Directory Opus","Yes","Partial","Partial","Yes","Yes","Yes","Yes","?","?","Yes"
"Dired","Yes","Yes","Yes","No","Yes","Yes","No","?","No","Yes"
"Disk Order","Yes","?","?","Yes","?","?","?","?","?","?"
"Dolphin","Yes","Yes","Yes","Yes","?","?","Yes","?","Yes","Partial"
"Double Commander","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"emelFM2","Yes","Yes","Yes","No","?","Yes","No","?","Yes","?"
"FAR Manager","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Plugin","Plugin"
"File Commander","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes"
"File Manager","Yes","?","?","No","Yes","Yes","No","?","Yes","Yes"
"Finder","Yes","Yes","Yes","Yes","Yes","?","No","?","Yes","No"
"GNOME Commander","Yes","?","?","Yes","Yes","?","?","?","No","Yes"
"Konqueror","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes"
"Midnight Commander","Yes","?","?","?","Yes","Yes","Partial","?","?","Yes"
"Nautilus","Yes","No","Yes","Yes","No","No","Partial","No","Yes","No"
"Path Finder","Yes","No","No","Yes","No","Yes","No","Yes","No","No"
"PCManFM","Yes","?","?","?","?","?","?","?","?","?"
"ROX-Filer","With helper apps","With helper apps","Yes","Yes","No","Yes","No","No","No","Yes"
"STDU Explorer","No","No","No","Yes","No","No","No","No","No","No"
"Thunar","No","No","?","Yes","No","Yes","?","?","?","Yes"
"Total Commander","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Log file","Yes"
"Windows Explorer","Yes","Partial","No","Yes","No","No","Partial","No","Yes","Partial"
"Xandros File Manager","?","?","?","?","?","?","?","?","?","?"
"Xfe","?","?","?","?","?","?","?","?","?","?"
"Xfm","?","?","?","?","?","?","?","?","?","?"
"xplorer²","Yes","Partial","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XYplorer","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZTreeWin","Yes","Partial","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"","","","","","","","","","",""
