"","Maintainer","First public release date","Latest stable version","Latest release date","License"
"4D (4th Dimension)","4D S.A.S.","1984","v14.2","2014-07-10","Proprietary"
"ADABAS","Software AG","1970","8.1","2013-06","Proprietary"
"Adaptive Server Enterprise","Sybase","1987","16.0","","Proprietary"
"Advantage Database Server (ADS)","Sybase","1992","11.1","2012","Proprietary"
"Altibase","Altibase Corp.","2000","6.1.3","2014-04-18","Proprietary"
"Apache Derby","Apache","2004","10.11.1.1","2014-08-26","Apache License"
"ClustrixDB","Clustrix","2010","v6.0","2015-02-03","Proprietary"
"CUBRID","NHN Corporation","2008-11","9.3.0","2014-05-13","GPL v2 or later"
"dashDB","IBM","June 2013","10.6","Monthly","Proprietary"
"Datacom","CA, Inc.","Early 70s","14","2012","Proprietary"
"DB2","IBM","1983","10.5","2013-04-23","Proprietary"
"Drizzle","Brian Aker","2008","7.1.36","2012-05-23","GPL v2 and v3, with some BSD components"
"Empress Embedded Database","Empress Software Inc","1979","10.20","2010-03","Proprietary"
"EXASolution","EXASOL AG","2004","4.2.8","2014-04-22","Proprietary"
"Firebird","Firebird project","2000-07-25","2.5.4","2015-03-30","IPL and IDPL"
"GPUdb","GIS Federal","2014","3.2.5","2015-01-14","Proprietary"
"HSQLDB","HSQL Development Group","2001","2.3.2","2014-02-14","BSD"
"H2","H2 Software","2005","1.3.176","2014-04-05","EPL and modified MPL"
"Informix Dynamic Server","IBM","1980","12.10.xC4","2014-03-14","Proprietary"
"Ingres","Ingres Corp.","1974","10.2","2014-09-30","GPL and Proprietary"
"InterBase","Embarcadero","1984","InterBase XE","2010-09-21","Proprietary"
"Linter SQL RDBMS","RELEX Group","1990","6.x","2013-08-26","Proprietary"
"LucidDB","The Eigenbase Project","2007-01","0.9.3","","GPL v2"
"MariaDB","MariaDB Community","2010-02-01","10.0.19","2015-05-09","GPL v2 and LGPL for client-libraries"
"MaxDB","SAP AG","2003-05","7.9.0.8","2014","Proprietary"
"Microsoft Access (JET)","Microsoft","1992","15 (2013)","2012-10-02","Proprietary"
"Microsoft Visual Foxpro","Microsoft","1984","9 (2005)","2007-10-11","Proprietary"
"Microsoft SQL Server","Microsoft","1989","2014 (12)","2014-03-18","Proprietary"
"Microsoft SQL Server Compact (Embedded Database)","Microsoft","2000","2011 (v4.0)","","Proprietary"
"MonetDB","The MonetDB Team / CWI","2004","11.19.7","2014-11","MonetDB License v1.1 (based on the MPL 1.1)"
"mSQL","Hughes Technologies","1994","3.9","2011-02","Proprietary"
"MySQL","Oracle Corporation","1995-11","5.6.22","2014-12-01","GPL v2 or Proprietary"
"MemSQL","MemSQL","2012-06","1.8 (2012)","2012-12","Proprietary"
"Nexusdb","Nexus Database Systems Pty Ltd","2003-09","3.04","2010-05-08","Proprietary"
"HP NonStop SQL","Hewlett-Packard","1987","SQL/MX 2.3","","Proprietary"
"Omnis Studio","TigerLogic Inc","1982-07","4.3.1 Release 1no","2008-05","Proprietary"
"OpenBase SQL","OpenBase International","1991","11.0.0","","Proprietary"
"OpenEdge","Progress Software Corporation","1984","11.0","","Proprietary"
"OpenLink Virtuoso","OpenLink Software","1998","7.x","2013-08-05","GPL v2 or Proprietary"
"Oracle","Oracle Corporation","1979-11","12c Release 1","2013-06-25","Proprietary"
"Oracle Rdb","Oracle Corporation","1984","7.3.1.2","2014-10-08","Proprietary"
"Paradox","Corel Corporation","1985","11","2003","Proprietary"
"Pervasive PSQL","Pervasive Software","1982","v11 SP3","2013","Proprietary"
"Polyhedra DBMS","ENEA AB","1993","8.9","2014-09","Proprietary"
"PostgreSQL","PostgreSQL Global Development Group","1989-06","9.4.3","2015-06-04","PostgreSQL Licence (a liberal Open Source license)"
"R:Base","R:BASE Technologies","1982","9.5","","Proprietary"
"RDM","Raima Inc.","1984","11.0","2012-06-29","Proprietary"
"RDM Server","Raima Inc.","1993","8.4","2012-10-31","Proprietary"
"SAP HANA","SAP AG","2010","1.0","","Proprietary"
"ScimoreDB","Scimore","2005","3.0","2008-03-03","Proprietary"
"SmallSQL","SmallSQL","2005-04-16","0.20","2008-12","LGPL"
"solidDB","UNICOM Global","1992","7.0.0.10","2014-04-29","Proprietary"
"SQL Anywhere","Sybase","1992","12.0","2010-07-09","Proprietary"
"SQLBase","Unify Corp.","1982","11.5","2008-11","Proprietary"
"SQLite","D. Richard Hipp","2000-08-17","3.8.8.3","2015-02-25","Public domain"
"Superbase","Superbase","1984","Scientific (2004)","","Proprietary"
"Teradata","Teradata","1984","15","2014-04","Proprietary"
"Tibero","TmaxData","1992","5.SP1","2014-08","Proprietary"
"UniData","Rocket Software","1988","7.2.12","2011-10","Proprietary"
