"Name","Guest OS SMP available","Runs arbitrary OS","Supported guest OS drivers","Method of operation","Typical use","Speed relative to host OS","Commercial support available"
"Containers, or Zones","Yes, over 500-way on current systems","No","Uses native device drivers","Operating system-level virtualization","Server consolidation with workload isolation, single workload containment, hosting, dev/test/prod","Near native","Yes"
"Guest PC","No","Yes","Yes","dynamic recompilation (guest calls trapping where supported)","Hobbyist, Developer, Business workstation","Slow","?"
"Hyper-V Server 2008 R2","Yes, up to 4 VCPUs per VM","Yes","Yes","Virtualization","Server consolidation, service continuity, dev/test, desktop virtualization, cloud computing","Up to near native","Yes"
"OpenVZ","Yes","No","Compatible","Operating system-level virtualization","Virtualized server isolation","Up to near native","Yes"
"KVM","Yes","Yes","Yes","AMD-V and Intel-VT-x","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes","Up to near native","Yes"
"Linux-VServer","Yes","No","Compatible","Operating system-level virtualization","Virtualized server isolation and security, server consolidation, cloud computing","Up to near native","Yes"
"Oracle VM Server for x86","Yes","Yes","Yes","Paravirtualization and hardware virtualization","Server consolidation and security, enterprise and business deployment","Up to near native","Yes"
"Oracle VM Server for SPARC","Yes","Yes, but needs porting","Yes","Paravirtualization and hardware virtualization","Server consolidation and security, enterprise and business deployment","Up to near native","Yes"
"OVPsim","Yes","Yes","?","Full system simulation with optional component virtualization","Software development (early, embedded), advanced debug for single and multicore software, compiler and other tool development, computer architecture research, hobbyist","Depends on target architecture (full and slow hardware emulation for guests incompatible with host)","Yes, with commercial license from Imperas"
"PikeOS","Yes","Yes, but modifications required as paravirtualization is used","Yes","Paravirtualization","Safety and security critical embedded system.","Up to near native","Yes"
"ScaleMP vSMP Foundation","Yes, up to 8,192 CPUs and 64 TB per VM","Yes","Yes","Virtualization","Server consolidation, Cloud computing","?","Yes"
"Simics","Yes","Yes","Yes","Full system simulation of processors, MMUs, devices, disks, memories, networks, etc.","Software development, advanced debug for single and multicore software, compiler and other tool development, computer architecture research, bug transportation, automated testing, system architecture, long-term support of safety-critical systems, early hardware availability, virtual prototyping","Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x, cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors, number of target machines, and how much the simulation can be parallelized)","Yes"
"Sun xVM Server","Yes","Yes","Yes","Paravirtualization and porting or hardware virtualization","Servers, Development","Up to near native","Yes"
