"System","Web","Email","CLI","GUI","REST","SOAP","Mylyn","Visual Studio","Others"
"Apache Bloodhound","Yes","Optional","No","No","No","No","Yes","No","Yes XMLRPC"
"Assembla Tickets","Yes","Yes","Yes","No","Yes","No","Yes","No","No"
"Axosoft","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes - iPhone"
"Brimir","Yes","Yes","Partial","Yes","No","No","No","No","No"
"Bugzilla","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes XMLRPC"
"Debbugs","No","Yes","Yes","No","No","No","No","No","No"
"FogBugz","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes XML"
"Fossil","Yes","No","Yes","No","No","No","No","No","No"
"FusionForge","Yes","No","No","No","No","Yes","No","No","No"
"GNATS","Yes","No","Yes","No","No","No","No","No","No"
"Google Code Hosting","Yes","No","No","No","No","No","Yes","No","No"
"HP Quality Center","Yes","No","No","Yes","Yes","No","Yes","No","Yes - IntelliJ IDEA"
"IBM Rational ClearQuest","Yes","Yes","No","Yes","No","No","Yes","No","No"
"IBM Rational Team Concert","Yes","No","No","Yes","Yes","No","No","Yes","No"
"JIRA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes - Android App , iPhone App"
"Kayako SupportSuite","Yes","Yes","No","No","Yes","No","No","No","Yes - Android App, iOS App"
"Launchpad","Yes","Yes","No","No","Yes","No","No","No","Yes - Python"
"Liberum Help Desk","Yes","No","No","No","No","No","No","No","No"
"LibreSource","Yes","No","No","No","No","No","No","No","No"
"MantisBT","Yes","Yes","No","No","No","Yes","Yes","No","Yes - Android App"
"Microsoft Dynamics CRM","Yes","Yes","No","No","No","Yes","No","No","No"
"org-mode","No","No","Yes","No","No","No","No","No","No"
"OTRS","Yes","Yes","No","No","No","Yes","No","No","No"
"Pivotal Tracker","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes - XML, iOS App"
"Plain Ticket","Yes","Yes","No","No","No","No","No","No","No"
"Planbox","Yes","Yes","No","Yes","Yes","No","No","No","Yes - Mobile, Zendesk, Git, SVN, SnapEngage"
"Redmine","Yes","Yes","Partial","No","Yes","No","Yes","No","No"
"Remedy Action Request System","Yes","Yes","No","Yes","No","Yes","No","No","No"
"Request Tracker","Yes","Yes","Yes","No","Yes","No","No","No","No"
"Roundup","Yes","Yes","Yes","No","No","No","No","No","No"
"StarTeam","Yes","No","No","Yes","No","No","No","Yes","No"
"Supportworks","Yes","Yes","No","Yes","Yes","No","No","No","No"
"SysAid","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"Team Foundation Server","Yes","Yes","Yes","No","No","Yes","No","Yes","No"
"Teamwork","Yes","Yes","No","No","No","No","No","No","No"
"TechExcel's DevTrack","Yes","No","No","Yes","No","No","No","No","Yes - XML, iOS App, Android App"
"TestTrack","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes - XML, Eclipse"
"The Bug Genie","Yes","Yes","Yes","No","Yes","No","No","No","No"
"Trac","Yes","Optional","No","No","No","No","Yes","No","Yes XMLRPC"
"TrackerSuite.Net","Yes","Yes","No","No","No","No","No","No","No"
"Usersnap","Yes","Yes","No","Yes","No","No","No","No","No"
"Web Help Desk","Yes","Yes","No","Yes","No","No","No","No","Yes - iPhone"
"Wrike","Yes","No","No","No","No","No","No","No","No"
"YouTrack","Yes","Yes","No","No","Yes","No","Yes","No","No"
"Zoho BugTracker","Yes","Yes","No","Yes","No","No","No","No","No"
"","","","","","","","","",""
