"","QuickTime","AVI","Ogg","Matroska","MP4","MXF"
"MicroDVD","?","No","No","Yes","?","?"
"MPEG-4 Timed Text","?","No","?","Yes","Yes","?"
"MPSub","?","No","?","Yes","?","?"
"Ogg Writ","?","No","Yes","Yes","?","?"
"SAMI","?","?","?","Yes","?","?"
"SubRip","?","Yes, via third party modifications","Yes","Yes","Yes","?"
"(Advanced) SubStation Alpha","?","Yes, via third party modifications","?","Yes","No","?"
"SubViewer","?","?","?","Yes","?","?"
"Universal Subtitle Format","?","No","?","Yes","?","?"
"VobSub","?","?","?","Yes","?","?"
"XSUB","?","via DivX","?","Yes","?","?"
