"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API support","API support"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"STG-2000","September 1995","NV1","?","PCI","2
4","12","75","1:1:1","12","12","12","0","0.6","EDO
VRAM","64","n/a","n/a"
"Riva128","April 1997","NV3","350","PCI","4","100","100","1:1:1","100","100","100","0","1.6","SDR","128","5.0","1.0"
"Riva128ZX","February 23, 1998","NV3","350","AGP 2x, PCI","8","100","100","1:1:1","100","100","100","0","1.6","SDR","128","5.0","1.0"
"Riva TNT","March 23, 1998","NV4","350","AGP 2x, PCI","8
16","90","110","2:2:2","180","180","180","0","1.76","SDR","128","6.0","1.2"
"Vanta","March 22, 1999","NV6","250","AGP 4x","16","100","125","2:2:2","200","200","200","0","1","SDR","64","6.0","1.2"
"Vanta LT","March, 2000","NV6","250","AGP 4x","8
16","80","100","2:2:2","160","160","160","0","0.8","SDR","64","6.0","1.2"
"Riva TNT2 M64","October, 1999","NV6","250","AGP 4x, PCI","8, 16
32","125","150","2:2:2","250","250","250","0","1.2","SDR","64","6.0","1.2"
"Riva TNT2","March 15, 1999","NV5","250","AGP 4x, PCI","16
32","125","150","2:2:2","250","250","250","0","2.4","SDR","128","6.0","1.2"
"Riva TNT2 Pro","October 12, 1999","NV5","220","AGP 4x","32","143","166","2:2:2","286","286","286","0","2.656","SDR","128","6.0","1.2"
"Riva TNT2 Ultra","March 15, 1999","NV5","250","AGP 4x","16
32","150","183","2:2:2","300","300","300","0","2.928","SDR","128","6.0","1.2"
