"Client","Pop-up","Tray notification","Browser plugin","E-mail","""newspaper""-like","Media aggregator","Notes","Downloadable attachments"
"Akregator","Yes","Yes","Yes (integration with konqueror)","Yes","?","Yes","KDE","?"
"Amarok","?","?","?","?","?","Yes","KDE","?"
"AOL Explorer","?","?","N/A","?","?","?","Discontinued; Feed support is available in Internet Explorer 7","?"
"Avant","?","?","N/A","?","?","?","Feed support is available in Internet Explorer 7","?"
"BlogBridge","?","?","?","?","?","?","","?"
"Canto","?","?","?","?","?","?","Ncurses/console based reader","?"
"Claws Mail","Yes","Yes","Yes","Yes","?","?","RSSyl plugin needed","?"
"CommaFeed","?","?","Yes","?","Yes","?","Web browser","?"
"Cooliris","?","?","Yes","?","?","?","Web browser plugin","?"
"Feed Viewer","No","No","N/A","No","Yes","Yes","","No"
"FeedDemon","?","Yes","?","?","Yes","?","Discontinued","?"
"Feedreader","Yes","No","No","?","Yes","?","","?"
"Flock","?","?","N/A","?","?","Yes","Discontinued","?"
"Gnus","Add-on","?","?","Yes","?","?","Emacs-based mail and news client","?"
"IBM Lotus Notes","?","?","?","?","?","?","Studio Blog Reader is one RSS reader application for IBM Lotus Notes; Notes version 8.x introduced a native RSS reader","?"
"Internet Explorer","?","?","N/A","?","Yes","?","Feed support is available in Internet Explorer 7","?"
"iTunes","?","?","?","?","?","Yes","","?"
"Juice","?","?","?","?","?","Yes","Designed as Podcast aggregator","?"
"K-Meleon","?","?","?","?","?","?","Web browser","?"
"Kazehakase","?","?","N/A","?","?","?","Web browser","?"
"Liferea","Yes","Yes","?","?","?","?","","?"
"Mail (OS X)","?","?","?","Yes","?","?","","?"
"Maxthon","?","?","N/A","?","?","?","Web browser","?"
"MediaMonkey","?","?","?","?","?","Yes","Media Player","?"
"Microsoft Office Outlook","?","?","?","?","?","?","Feed support is available in Microsoft Office Outlook 2007","?"
"Miro","?","?","?","?","?","Yes","Media Player","?"
"Mozilla Firefox","Yes","Add-on","N/A","?","?","?","Web Browser","?"
"Mozilla Thunderbird","?","Add-on","?","Yes","No","?","Mail Client","?"
"NetNewsWire","?","?","?","?","?","?","","?"
"Netscape Browser","?","?","N/A","?","?","?","Discontinued; Web browser","?"
"Netscape Navigator 9","Yes","?","N/A","?","?","?","Discontinued","?"
"NewsAccess","?","?","?","?","?","?","","?"
"NewsBlur","?","?","?","?","?","?","","?"
"NewsFire","?","?","?","?","?","?","","?"
"OmniWeb","?","?","?","?","?","?","Part of the OmniWeb browser","?"
"Opera Mail","Yes","Yes","No","Yes","No","?","","Yes"
"Pegasus Mail","?","?","?","Yes","?","?","Pegasus Mail can convert RSS feeds to e-mails via free add-ons","?"
"Rhythmbox","?","?","?","?","?","?","Media Player","?"
"RSS Bandit","?","?","?","?","?","?",".NET Framework based","?"
"RSSOwl","Yes","Yes","No","No","Yes","Yes","no longer support for Google Reader synchronization since version 2.2.0","Yes"
"Safari","?","?","N/A","?","Yes","?","Web Browser","?"
"Sage","?","?","?","?","Yes","?","a Firefox extension","?"
"SeaMonkey Mail & Newsgroups","?","?","N/A","Yes","?","?","Part of the SeaMonkey Internet suite","?"
"Songbird","?","?","?","?","?","Yes","Media Player","?"
"Shiira","?","?","N/A","?","?","?","Web browser","?"
"Sleipnir","?","?","N/A","?","?","?","Feed support is available in Internet Explorer 7","?"
"The Bat!","?","?","?","Yes","No","No","Mail client; rss2mail or rss2pop3 plugin needed for versions prior to 6.4; newer versions support RSS natively","?"
"The Old Reader","?","?","Yes","?","?","?","","?"
"Winamp","No","?","No","No","No","Yes","Media Player","?"
"Windows Live Mail","?","?","?","Yes","?","?","","?"
"Zimbra","?","?","?","?","?","?","Groupware suite","?"
"Zune","?","?","?","?","?","Yes","Media player","?"
"","","","","","","","",""
