"","Visual query builder","Visual schema/model/E-R diagram design","Reverse engineering","Forward engineering","ER diagram groupboxes"
"Adminer","Yes","Yes","Yes","No","No"
"Altova DatabaseSpy","Yes","Yes","Yes","Yes","?"
"DaDaBIK","Some","No","No","No","No"
"Database Deployment Manager","Yes","Yes","Yes","No","No"
"Database Workbench","Yes","Yes","Yes","?","Yes"
"DBEdit","No","No","No","No","No"
"Devgems Data Modeler","No","Yes","Yes","Yes","Yes"
"DeZign for Databases","No","Yes","Yes","Yes","Yes"
"ModelRight","No","Yes","Yes","Yes","Yes"
"Navicat","Yes","Yes","Yes","Yes","Yes"
"Navicat Data Modeler","No","Yes","Yes","Yes","Yes"
"MySQL Workbench","Yes","Yes","Yes","Yes","Yes"
"Oracle SQL Developer","Yes","Yes","Yes","Yes","?"
"Orbada","No","No","No","No","No"
"pgAdmin III","Yes","No","No","No","No"
"phpMyAdmin","Yes","Yes","Yes","No","No"
"phpPgAdmin","No","No","No","No","No"
"SQL Database Studio","Yes","Yes","Yes","Yes","No"
"SQL Server Management Studio","?","Yes","Yes","?","?"
"SQLyog","Yes","Yes","Yes","Yes","?"
"SQuirreL SQL","Yes","Yes","Yes","?","No"
"Toad","Yes","Yes","Yes","Yes","?"
"Toad Data Modeler","No","Yes","Yes","Yes","?"
