"ISO 9660:1988","Level 1: 8.3,
Level 2 & 3: ~ 180","Depends on Level","~ 180 bytes?","4 GB (Level 1 & 2) to 8 TB (Level 3)","8 TB",""
"ISO 9660:1999","style=""background: #E4E4E4; color: black; vertical-align: middle; text-align: center; "" class=""unknown table-unknown""|Unknown (207?)","Unknown","Unknown","Unknown","Unknown","Unknown"
"Joliet (""CDFS"")","64 Unicode characters","All UCS-2 code except","Unknown","4 GB (same as ISO 9660:1988)","8 TB (same as ISO 9660:1988)",""
"Lanyard Filesystem","255 bytes","Any byte except NUL and","No limit defined","64 ZB","128 kB to 64 ZB",""
"LEAN","4,068 bytes","case sensitive, in UTF-8 (any Unicode codepoint)","No limit defined","8 EB","8 EB",""
"Level-D","6.3","A–Z, 0–9","DEVICE:FILNAM.EXT[PROJECT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67","24 GB (34,359,738,368 words (2-1); 206,158,430,208 SIXBIT bytes)","12 GB (approx; 64 * 178 MB)",""
"LTFS","Unknown","Unknown","Unknown","Unknown","Unknown",""
"Lustre","255 bytes","Any byte except NUL and /","No limit defined","32 PB (on ext4)","1 YB (55 PB tested)",""
"JFS1","255 bytes","Any byte except NUL","No limit defined","8 EB","4 PB",""
"JFS","255 bytes","Any Unicode except NUL","No limit defined","4 PB","32 PB",""
"MFS","255 bytes","Any byte except","No path (flat filesystem)","226 MB","226 MB",""
"MicroDOS file system","14 bytes","Unknown","Unknown","16 MB","32 MB",""
"MINIX V1 FS","14 or 30 bytes, set at filesystem creation time","Any byte except NUL","No limit defined","64 MB","64 MB",""
"MINIX V2 FS","14 or 30 bytes, set at filesystem creation time","Any byte except NUL","No limit defined","4 GB","1 GB, then 2 TB",""
"MINIX V3 FS","60 bytes","Any byte except NUL","No limit defined","4 GB","16 TB",""
"NILFS","255 bytes","Any byte except NUL","No limit defined","8 EB","8 EB",""
"NSS","226 characters","Depends on namespace used","Only limited by client","8 TB","8 TB",""
"NTFS","255 characters","Depends on namespace used","32,767 Unicode characters with each path component (directory or filename) commonly up to 255 characters long","16 EB","16 EB",""
"NWFS","80 bytes","Depends on namespace used","No limit defined","4 GB","1 TB",""
"OCFS","255 bytes","Any byte except NUL","No limit defined","8 TB","8 TB",""
"OCFS2","255 bytes","Any byte except NUL","No limit defined","4 PB","4 PB",""
"ODS-5","236 bytes","Unknown","4,096 bytes","2 TB","2 TB",""
"OS4000","8 bytes","A–Z, 0–9
Period is directory separator","No limit defined","2 GB","1 GB (at least)",""
"PramFS","31 bytes","Any byte except NUL","Unknown","1 GB","8 EB",""
"QFS","255 bytes","Any byte except NUL","No limit defined","16 EB","4 PB",""
"ReFS","32,767 Unicode characters (255 Unicode characters in Windows 8/8.1)","Unknown","32,767 Unicode characters in each path component","16 EB","1 YB with 64 kB cluster size (2 × 64 × 2). Windows stack addressing allows 16 EB",""
"ReiserFS","4,032 bytes/226 characters","Any byte except NUL","No limit defined","8 TB (v3.6), 2 GB (v3.5)","16 TB",""
"Reiser4","3,976 bytes","Any byte except  and NUL","No limit defined","8 TB on x86","Unknown",""
"Reliance","260 bytes","OS specific","260 B","4 GB","2 TB",""
"Reliance Nitro","1,024 bytes","OS specific","1024 bytes","32 TB","32 TB",""
"RT-11","6.3","A–Z, 0–9, $","Non-hierarchical","32 MB (65536 * 512)","32 MB",""
"IBM SFS","8.8","Unknown","Non-hierarchical","Unknown","Unknown",""
"UDF","255 bytes","Any Unicode except NUL","1,023 bytes","16 EB","2 TB (hard disk), 8 TB (optical disc)",""
"UFS1","255 bytes","Any byte except NUL","No limit defined","226 TB","226 TB",""
"UFS2","255 bytes","Any byte except NUL","No limit defined","32 PB","1 YB",""
"V6FS","14 bytes","Any byte except NUL and","No limit defined","16 MB","2 TB",""
"V7FS","14 bytes","Any byte except NUL and","No limit defined","1 GB","2 TB",""
"VxFS","255 bytes","Any byte except NUL","No limit defined","256 TB","256 TB",""
"VMFS2","128","Any byte except NUL and","2,048","4 TB","64 TB",""
"VMFS3","128","Any byte except NUL and","2,048","2 TB","64 TB",""
"XFS","255 bytes","Any byte except NUL","No limit defined","8 EB","8 EB",""
"ZFS","255 bytes","Any Unicode except NUL","No limit defined","16 EB","256 ZB",""
"File system","Maximum filename length","Allowable characters in directory entries","Maximum pathname length","Maximum file size","Maximum volume size",""
