"Name","Can boot an OS on another disk partition as guest","USB support","GUI","Live memory allocation","3D acceleration","Snapshots per VM","Snapshot of running system","Live migration","Shared folders","Shared clipboard","PCI passthrough"
"KVM","Yes","Yes","Yes","Yes","Yes (via AIGLX)","Yes","Yes","Yes","","","Yes"
"User Mode Linux","Yes","No","No","No","No","","","No","Yes","N/A",""
"DosBox","No","No","SVN builds only","No","Glide (SVN builds only)","No","Yes","No","No","No","No"
"Oracle VirtualBox (formerly OSE, GPLv2)","Yes","USB 1.1 only","Yes","Yes","No","Yes branched","Yes","Yes","No","No","Linux only"
"Oracle VirtualBox with Extension Pack and Guest Additions (PUEL)","Yes","USB 2.0","Yes","Yes","OpenGL 2.0 and Direct3D 8/9","Yes branched","Yes","Yes","Yes","Yes","Linux only"
"Oracle VM Server for SPARC","Yes","USB 2.0","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes"
"Guest PC","No","No","Yes","?","No","No","No","No","No","No","N/A"
"OKL4 Microvisor","Yes","Yes","VMs only","Yes","Yes","","","No","","","Static assignment"
"Virtual Iron 4.2","","","","","","","","Yes","","",""
"Virtual PC 2007","No","No","Yes","No","No","","","No","Yes","Yes",""
"Windows Virtual PC","No","partially","Yes","No","No","","","No","Yes","Yes",""
"VirtualPC 7 for Mac","No","Yes","Yes","Yes","No","","","No","Yes","Yes",""
"Microsoft Virtual Server 2005 R2","","No","Yes","No","No","?","Yes","No","","",""
"Microsoft Hyper-V Server 2008 R2","Yes","Partial support over remote desktop connections","Yes","Yes","DirectX 9.0c  (via RemoteFX)","Yes branched","Yes","Yes","","","No"
"Microsoft Hyper-V Server 2012 R2","Yes","Yes","Yes","Yes","DirectX 9.0c  (via RemoteFX)","Yes branched","Yes","Yes","","","No"
"Virtuozzo","Yes","Yes","Yes","Yes","No","","","Yes","","",""
"VMware ESX Server 3.0 atp","","","Yes","","No","?","Yes","Yes","","","No"
"VMware ESX Server 2.5.3","","","Yes","","No","","","","","","No"
"VMware ESX Server 4.0 (vSphere)","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","","","Yes"
"VMware Fusion 2.0","Yes","Yes","Yes","No","DirectX 9 Shader model 2","","","No","","","No"
"VMware Server","Yes","Yes","Yes","Yes","No","1","Yes","No","Yes","Yes",""
"VMware Workstation 5.5","Yes","Yes","Yes","Yes","Experimental support for DirectX 8; also supported with VMGL","Yes branched","Yes","No","Yes","Yes","No"
"VMware Workstation 6.0","Yes","Yes","Yes","Yes","Experimental support for DirectX 8; Also supported with VMGL","Yes branched","Yes","No","Yes","Yes","No"
"VMware Workstation 7.0 and 8.0","Yes","Yes","Yes","Yes","Support for DirectX 9.0c Shader Model 3 and OpenGL 2.13D.","Yes branched","Yes","No","Yes","Yes","No"
"VMware Player","Yes","Yes","Yes","Yes","supported with VMGL","No","No","No","Yes","","No"
"Wind River hypervisor","Yes","Yes","Yes","Yes","Yes","","","No","","",""
"Wind River VxWorks MILS Platform","Yes","","","","","","","","","",""
"Xen","Yes","","Yes","Yes","Supported with VMGL","?","Yes","Yes","","","Yes"
"XenServer","Yes","","Yes","Yes","Supported with VMGL","?","Yes","Yes","","","Yes"
"z/VM","Yes","Not applicable","Yes (zURM/HMC)","Yes","Not applicable","","","Yes (2011)","","Not applicable","Not applicable"
"z LPAR","Yes","Not applicable","Yes (HMC)","Yes","Not applicable","","","Yes (2007)","","Not applicable","Not applicable"
"Zones","Yes","Yes","Yes","Yes","No","","","No","Yes","",""
"Name","Can boot an OS on another disk partition as guest","USB","GUI","Live memory allocation","3D acceleration","Snapshots per VM","Snapshot of running system","Live migration","Shared folders","Shared clipboard","PCI passthrough"
