"Software","Isochronic tones","Monaural beats","Binaural beats","Photic"
"BeeOne SMOD/HMS","Yes","Yes","Yes","No"
"BrainWave Generator","No","No","Yes","Yes"
"Gnaural","Yes","Yes","Yes","?"
"BrainIgniter Player","Yes","Yes","Yes","No"
"Neuro Entrainment","Yes","Yes","Yes","No"
"Neuro-Programmer 3","Yes","Yes","Yes","Yes"
"Mind WorkStation","Yes","Yes","Yes","Yes"
"SBaGen","No","Yes","Yes","No"
"Brainwave Studio","Yes","No","No","No"
"Discord","Yes","Yes","Yes","?"
"Isochronic Tone Generator","Yes","No","No","No"
"Lux VST Brainwave Entrainment Instrument","Yes","Yes","Yes","Yes"
"Neuro Sequencer Pro","Yes","No","Yes","No"
