"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB"
"3D-FTP","SiteDesigner Technologies, Inc.","1999","9.01 July 6, 2010; 4 years ago","Proprietary","Yes"
"AbsoluteTelnet","Celestial Software","1996","9.49 July 2, 2012; 2 years ago","Proprietary","Yes"
"AutoFTP","PrimaSoft PC","1998","4.9","Proprietary","?"
"BatchFTP","ENSware LLC.","2000","9.0.0.1 February 12, 2009; 6 years ago","Proprietary","Yes"
"Beyond Compare","Scooter Software","1996","4.0.7 (build 19761) March 4, 2015; 3 months ago","Proprietary","Yes"
"Beyond FTP","Automated Programming Technologies","1997","3.3.01 (build 009) July 11, 2014; 10 months ago","Proprietary","Yes"
"BulletProof FTP aka BPFTP","BulletProof Software LLC","1997","2.63","Proprietary","Yes"
"ClassicFTP","NCH Software.","2007","2.52 December 29, 2014; 5 months ago","Proprietary","Yes"
"CuteFTP","Alex Kunadze/Globalscape","1994","9.0.5 (Windows) July 22, 2013; 22 months ago / 3.1.3 (Mac) May 2, 2014; 13 months ago","Proprietary","Yes"
"Directory Opus","GPSoftware","1990","11.10   December 19, 2014; 5 months ago","Proprietary","Yes"
"FlashFXP","OpenSight Software, LLC","1999","4.3.0 February 20, 2013; 2 years ago","Proprietary","Yes"
"FTP Client","Vicomsoft","1997","5.0.1","Proprietary","Yes"
"Global Downloader","Actysoft Inc","2005","1.8.1.1 November 20, 2011; 3 years ago","Proprietary","Yes"
"LeapFTP","LeapWare","1996","3.1.0 October 31, 2010; 4 years ago","Proprietary","Yes"
"GoAnywhere Director","Linoma Software","2002","4.5.1","Proprietary","Yes"
"Robo-FTP","Serengeti Systems Incorporated","2001","3.8.3 July 30, 2012; 2 years ago","Proprietary","Yes"
"rwBackup","Stack-Its","2014","1.0 April 16, 2014; 13 months ago","Proprietary","Yes"
"SmartFTP","SmartSoft Ltd","1998","4.1.1260 August 6, 2012; 2 years ago","Proprietary","Yes"
"Total Commander","Christian Ghisler","1993","8.51a  April 30, 2014; 13 months ago","Proprietary","Yes"
"UploadFTP","Brightek Software","2011","2.0.1 August 14, 2011; 3 years ago","Proprietary","Yes"
"WebDrive","South River Technologies, Inc.","1998","11.0  February 1, 2013; 2 years ago","Proprietary","Yes"
"WS_FTP","Ipswitch, Inc.","1996","12.4","Proprietary","Yes"
"Yummy FTP","Yummy Software","2004","1.9.0 May 10, 2011; 4 years ago","Proprietary","?"
