"Name","Implementation Language","Active; Passive","Model","Typical input","Other input","Typical output"
"Acceleo","Java","Active","Tier","User-defined EMF based models (UML, Ecore, user defined metamodels)","Any EMF based input (Xtext DSLs, GMF graphical models, etc.)","Any textual language."
"Accelerator","C#","Active","Tier","Database schema","XML Schema, Templates and configuration tables","C#, WPF, Silverlight, ASP.NET, WCF, WebServices(complete application)"
"actifsource","Java","Active","Tier","User-defined Models","Import from UML, Ecore.","Any textual language."
"anycode/","Java","Active","Tier","User-defined models","Custom templates (Groovy)","Any textual language, depends on your template code. Built-in directives in Java, JPA, Objective-C added since v1.2.0"
"Appsroller Web Form Generator","Javascript","Active","Web Tier","Any code","Javascript",""
"Apeel PHP Code Generator Pro","Delphi","Passive","Tier","Database schema","PHP, HTML, CSS","Full Application – PHP, CSS, Apeel Open Source Framework."
"AtomWeaver","C++, Lua","Active","Tier","Tree models built using a cooperative template system, based on the ABSE modeling approach","Code in any language","Any textual language"
"Click2Code for windows","VB6","Active","Mixed","User-defined Templates","Templates","User Interface"
"Code4Green","C#, VB.net, ASP.net, SharePoint, SQL, JAVA, classical ASP, HTML, XML","Active","Tier","Code4Green - an online ultimate code generation tool with a green cause of plantation of trees on each 10,000 LOC","Code in C#, VB.net, ASP.net, SharePoint, SQL, JAVA, classical ASP, HTML, XML","Output determined by the selected language type. It is a plain text."
"CodeCooker","Javascript","Active","Mixed","UML","","C#, C++ and CoffeeScript classes"
"CodeFluent Entities","C#","Active","Mixed","User-defined models, Database schema","Templates",".NET classes, Persistence layers (Microsoft SQL Server, Oracle, PostgreSQL, MySQL), WCF Services, ASP .NET websites..."
"CodeSmith Generator","C#, VB.NET, JavaScript","Active","Mixed","Database schema (ADOX, DB2 zOS, ISeries, MySQL, Oracle, Postgre, SQL Anywhere, SQL Compact, SQL Server, SQLite, VistaDB), C# or VB.NET source code, Any meta data source.. E.G., Web Services, SharePoint, UML, XSD, XML, DBML, EDMX, JSON, HBM, HTML and more...","Templates","Any textual output such as C#, VB.NET, C/C++, XML, SQL, JSON, JavaScript, HTML, or any other plain text format."
"CodeGenerator360","C#","Active","Tier","Database Schema","XML Schema","Stored Procedures, .NET DAL, C# ASP.NET Pages, Visual Studio 2010 Solution and Project Files"
"CodeOnTime","C#","Active","","Database Tables","Templates and Various XML configuration tables","C# ASP.NET"
"Cog","Python","Active","Mixed","Any code","Java   C#   C++   C   Perl   Python   Ruby   TCL   Javascript   Fortran   Lisp   Scheme   Cobol   XSLT   JSP   PHP   Yacc   SQL   XML   System Configuration Files",""
"C++ Middleware Writer","C++","Active","","DSL instance / Middle file","Include files","C++ marshalling code"
"DMS Software Reengineering Toolkit","Several code generation DSLs (attribute grammars, tree patterns, source-to-source rewrites)","Active","DSLs represented as abstract syntax trees","DSL instance","Well-formed output language code fragments","Any programming language (proven for C, C++, Java, C#, PHP, COBOL)"
"EazyCode","C#, VB.Net","Active","Tier","Database schema","Templates","Application and Code in ASP.Net, ASP.Net MVC, C#, VB.Net, WPF, WCF Services, SQL Query, SQL Stored Procedure, BAL, DAL, POCO"
"GenerateXY","Java","Active","Tier","User-defined Models","XML, CSV, Java, ... (extensible)","Any textual language, predefined modules for Java, HTML, XML"
