"Package","License","Windows","OS X","Linux","Market focus","Type","Structure"
"24SevenOffice","Software as a Service","Yes","Yes","Yes","Low to Mid-Market","ERP, CRM, email, collaboration, Project management, Integrated VoIP","Web based"
"The Access Group","Proprietary","Yes","No","No","Mid-Market","Financials, Customer Relationship Management, Manufacturing, Job Costing, POS, Inventory control, ERP, Business Intelligence, CIS, Payroll","Stand alone"
"Acumatica","Proprietary and Software as a service","Yes","No","No","Mid-Market","ERP, Accounting software","Stand alone and Web based"
"AME Accounting Software","Proprietary","Yes","No","No","Low to Mid-Market","Payroll, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting","Stand alone"
"Aplos Software","Proprietary","Yes","Yes","Yes","Low to Mid-Market nonprofit and faith-based organizations","Fund Accounting, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, nonprofit organization accounting, online fundraising","Web based"
"Baan Corporation","Proprietary","Yes","Yes","Yes","Mid to Low-Market","ERP","Stand alone and web based"
"BIG4books","Software as a Service and freeware","Yes","Yes","Yes","Low to Mid Market","Double-entry bookkeeping system, Small Business Accounting, Inventory control, Order Entry/Tracking, general ledger, accounts receivable, accounts payable, ERP, E-commerce, POS","Web based"
"Brightpearl","Software as a Service","Yes","Yes","Yes","Low to Mid Market","Double-entry bookkeeping system, Small Business Accounting, Bookkeeping, Multi-Currency, Inventory control, Order Entry/Tracking, general ledger, accounts receivable, accounts payable, ERP, E-commerce, POS, Retail, CRM, Reporting, Integration, Quotations, Invoices, Scheduler","Web based"
"CGram Enterprise","Proprietary","Yes","Yes","Yes","Low to Mid Market","Financials; ERP; CRM;Manufacturing; Multicompany; Multicurrency; Payroll; Inventory control; accounts receivable; accounts payable; general ledger","Stand alone"
"Cheqbook","Software as a Service","Yes","Yes","Yes","Low to Mid-Market","Double-entry bookkeeping system, accounts receivable, accounts payable, Small Business Accounting, Reporting, Business Intelligence, general ledger, Bank Reconciliation, Automatic bank feeds, Journal entries, Check printing, Online payment payment processing","Web based"
"CODA","Proprietary","Yes","No","Yes","Mid-Market","GL; AP; AR; Analytics; Integration; etc.","Stand alone/Web Access"
"Comarch Altum","Proprietary","Yes","No","No","Low to Mid-Market","ERP; GL; Bookkeeping, Multi-Currency, Multi-Language, Double-entry bookkeeping system, AP; AR; Analytics; Integration; CRM; BI; e-commerce; Workflow; Retail; POS","Stand alone / Web Access"
"Cougar Mountain Software","Proprietary","Yes","No","No","Low to High End Market","Accounts receivable, accounts payable, Bank reconciliation, Bookkeeping, Chart of accounts, E-commerce, Financials, Fund Accounting, general ledger, Grant Management Software, Inventory control, Job costing, Order Entry, Payroll, Point of Sale, Purchase Order, Retail, Small business software, Software as a Service","Stand alone and Web based"
"Express Accounts from NCH Software","Proprietary","Yes","Yes","No","Low to Mid Market","Business Accounting and Invoicing","Stand Alone/Web Access"
"FinancialForce.com","Software as a Service","Yes","Yes","Yes","Mid-Market to Enterprise","ERP, Ordering & Billing, Accounts Receivable, Accounts Payable, Cash Management, General Ledger, Reporting & Dashboarding, Multi-Currency, Multi-Company, Global Tax, Analytics","Web based"
