"IRC daemon","Modularity","Remote includes","IPv6","Client SSL","SSL linking","Zip linking","Hostmasking, cloaking","Services integration (built-in services)","LDAP authentication","IRCX support","SASL support","SASL EXTERNAL support","Server protocol"
"Bahamut","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","TS5 with extensions"
"bIRCd","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","RFC 1459 and TSpre8"
"beware ircd","No","No","Yes","No","No","No","Yes","No","No","No","No","No","P10"
"Charybdis","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","TS6 with extensions"
"ConferenceRoom","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Proprietary, binary"
"InspIRCd","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Partial","Yes","Yes","custom"
"IRCD","No","No","Yes","No","No","Yes","No","No","No","No","No","No","RFC 2813 with IDs"
"IRCD-Hybrid","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","TS6"
"ircd-ratbox","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","TS6"
"ircu","No","No","Yes","No","No","No","Yes","No","No","No","No","No","P10"
"ithildin","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Module-dependent"
"miniircd","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Nefarious IRCu","No","No","2.0+","Yes","Yes","No","Yes","No","No","No","2.0+","2.0+","P10 with extensions"
"ngIRCd","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","RFC 2813"
"OfficeIRC Server","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Compatible with DreamForge and UnrealIRCd"
"PleXusIRCd","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","TS5/TS6"
"pureIRCd","No","No","No","No","No","No","No","No","No","No","No","No","No"
"RockIRCd","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"RubIRCd","Yes","No","Yes","Yes","No","No","Yes","Partial","No","No","No","No","TS5 with extensions"
"ShadowIRCd","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","TS6 with extensions"
"snircd","No","No","Yes","No","No","No","Yes","No","No","No","No","No","P10 with extensions"
"solid-ircd","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","TS5 with extensions"
"Synchronet IRCd","No","No","No","No","No","No","No","No","No","No","No","No","TS5 with extensions"
"UnrealIRCd","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Module","No","3.2.10+","No","DreamForge/TS5 with extensions"
"WeIRCd","Partial","No","Yes","No","No","No","Yes","Yes (module)","No","No","No","No","No"
