"Product","Creator","Latest stable release date","Latest stable release","Latest testing release","License","Runs on Windows","Runs on Mac OS X","Runs on Linux","Oracle","MySQL","PostgreSQL","MS SQL Server","ODBC","JDBC","SQLite","Other","Programming language"
"Adminer","Jakub Vrána","2014-04-18","4.1.0","none distributed","Apache License or GPL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","PHP"
"Advanced Query Tool (AQT)","Cardett Associates Ltd","2009-08-31","8.2.8","8.2.8 (2009-08-31)","Proprietary","Yes","No","No","Yes","Yes","Yes","Yes","Yes","","","","C++"
"DaDaBIK","Eugenio Tacchini","2012-04-03","4.4","?","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","PHP"
"Database Deployment Manager","The Unauthorized Frog project","2012-05-29","v0.1i","?","LGPL","Yes","No","Yes","","Yes","","","","","","","Qt/C++"
"DatabaseSpy","Altova","2013-06-12","v2013r2sp1","?","Proprietary","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","","IBM DB2, Sybase, MS Access","C++"
"Database Workbench","Upscene Productions","2014-08-29","5.0","?","Proprietary","Yes","requires Wine","requires Wine","Yes","Yes","","Yes","Yes","","","InterBase, Firebird,  SQL Anywhere, NexusDB and MariaDB","Delphi"
"DBEdit","Jef Van Den Ouweland","2011-03-18","2.4","?","GPL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","IBM DB2, HSQLDB, Apache Derby, H2","Java"
"DbVisualizer","DbVis Software","2015-05-13","9.2.7","?","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Java"
"Devgems Data Modeler","Devgems","2009-04-30","1.0.0","?","Proprietary","Yes","No","No","","","","Yes","","","","InterBase, Firebird","Embarcadero Delphi"
"Embarcadero DBArtisan","Embarcadero Technologies","?","8.6.3","9.5","Proprietary","Yes","No","No","Yes","Yes","","Yes","Yes","Yes","","DB2, Sybase ASE","C++ Java"
"Epictetus","Antilogic Software","?","?","1.0 (2009-06-17)","Proprietary","Yes","Yes","Yes","Yes","","Yes","Yes","","","","Sybase, InterBase/Firebird, H2, HSQLDB","Java"
"ERwin Data Modeler","ca.com","?","7.3","?","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","MS Access, DB2, FoxPro, Informix, Ingres, Sybase, Teradata","?"
"HeidiSQL","HeidiSQL","2014-11-11","9.1.0.4867","9.1.0.4882 (2014-12-01)","GPL","Yes","requires Wine","requires Wine","","Yes","","Yes","","","","","Embarcadero Delphi"
"Maatkit","Baron Schwartz","2010-06-01","5247","?","GPL","Yes","Yes","Yes","","Yes","","","","","","","Perl"
"Microsoft SQL Server Management Studio","Microsoft","?","?","?","Proprietary","Yes","No","No","","","","Yes","","","","",".Net"
"ModelRight","ModelRight","?","3.6","3.7","Proprietary","Yes","No","No","Yes","Yes","","Yes","Yes","","","SQL Server, Oracle, MySQL, PostgreSQL, DB2, DB2/zOS, MS Access","C++"
"MySQL Workbench","Oracle Corporation","2015-04-23","6.3.3","?","GPL","Yes","Yes","Yes","","Yes","","","","","","","C++/C# Objective-C Python (programming language)"
"Navicat","PremiumSoft CyberTech Ltd.","2015-01-23","11.1.9","?","Proprietary","Yes","Yes","requires Wine","Yes","Yes","Yes","Yes","Yes","","Yes","","Borland Delphi Objective-C"
"Navicat Data Modeler","PremiumSoft CyberTech Ltd.","2013-08-09","1.0.12","?","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Borland Delphi Objective-C"
"Oracle Enterprise Manager","Oracle Corp.","2009-03-03","10gR5","?","Proprietary","Yes","No","Yes","Yes","Yes","","Yes","","","","DB2, Sybase, TimesTen","Java"
"Oracle SQL Developer","Oracle Corp.","2014-09-15","4.0.3.16.84","4.1 Early Adopter","Proprietary","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Microsoft Access, Sybase, DB2, Teradata","Java"
"Orbada","Andrzej Kałuża","2014-08-13","1.2.2.335","none","GPL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Firebird, HSQL, InterBase, Derby all with JDBC driver","Java"
"pgAdmin III","pgAdmin Development Team","2012-09-11","1.18.0","?","PostgreSQL License","Yes","Yes","Yes","","","Yes","","","","","","C++"
