"","Flat","Threaded","User-selectable themes","Calendar","Image attachment","Unread message tracking","WYSIWYG Editor"
"bbPress","Yes","Yes","No","No","Plugin","Plugin","Yes (using TinyMCE)"
"Beehive Forum","Yes","Yes","Yes","No","Yes","Full","Yes (using TinyMCE)"
"Discourse","Yes","Yes","No","No","Yes","Full","No"
"Discuz!","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"eXo Platform","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FluxBB","Yes","No","Yes","No","Plugin","Session","No"
"FUDforum","Yes","Yes","Yes","Yes","Yes","Full","Yes"
"Iko","Yes","No","Yes","No","Planned","Yes","Yes"
"Ikonboard","Yes","Yes","Yes","Yes","Yes","Session","No"
"Invision Power Board","Yes","Yes","Yes","Plugin","Yes","Full","Yes"
"MyBB","Yes","Yes","Yes","Yes","Yes","Full","Yes"
"Phorum","Yes","Yes","Yes","No","Yes","Full","Yes"
"phpBB","Yes","No","Yes","Plugin","Yes","Full","Planned"
"PunBB","Yes","Plugin","Yes","Plugin","Plugin","Session","Plugin"
"Simple Machines 1","Yes","No","Yes","Yes","Yes","Full","No"
"Simple Machines 2","Yes","No","Yes","Yes","Yes","Full","Yes"
"Snitz Forums 2000","Yes","No","No","No","No","Yes","No"
"Syndie","Yes","Yes","No","No","Yes","Full","Yes"
"UBB.classic","Yes","No","No","No","No","Session","No"
"UBB.threads","Yes","Yes","Yes","Yes","Yes","Full","Planned (Version 8.0)"
"Vanilla Forums","Yes","No","Yes","No","Plugin","Yes","Plugin"
"vBulletin","Yes","Yes","Yes","Yes","Yes","Full","Yes"
"Webcrossing","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WoltLab Burning Board","Yes","Yes","Yes","Plugin","Yes","Yes","Yes"
"XenForo","Yes","Yes","Yes","Yes","Yes","Full","Yes"
"","Flat","Threaded","User-selectable themes","Calendar","Image attachment","Unread message tracking","WYSIWYG Editor"
