"Client","Author, creator","First public release","Type","Latest stable version","License"
"Adium","Adam Iser, Evan Schoenberg","2001-09","Multi-protocol","1.5.10 (May 20, 2014; 12 months ago)","GPLv2"
"aMSN","The aMSN team","2002-05","Single-protocol","0.98.4","GPL"
"AIM","AOL","1997-05","Single-protocol","8.0.8.1 (April 6, 2015; 2 months ago)","Clickwrap"
"Ayttm","Colin Leroy and Philip Tellis","2003-04","Multi-protocol","*Linux: 0.6.1
Windows: 0.4.6-17","GPL"
"BBM","BlackBerry Limited","2006","Single-protocol","10.5.5.38 (BlackBerry 10) (31 October 2014; 7 months ago) 

8.5.1.8 (BlackBerry) (3 August 2014; 10 months ago) 

2.5.0.36 (Android) (10 November 2014; 6 months ago) 

2.5.0.26 (iOS) (31 October 2014; 7 months ago)","Proprietary"
"BitlBee","Wilmer van der Gaast","2002-08-09","Multi-protocol IRC gateway","3.2.2 (5 July 2014; 11 months ago)","GPL"
"Bombus","Eugene Stahov","2005-01-05","Single-protocol","v0.6 (2008; 7 years ago)","GPL"
"Centericq","Konstantin Klyagin","1999","Multi-protocol","4.21.0 (September 2, 2005; 9 years ago)","GPL"
"Coccinella","Mats Bengtsson","1999-12-01","Single-protocol","0.96.16 (December 1, 2009; 5 years ago)","GPLv3"
"eBuddy","Paulo Taylor","2003-03-09","Multi-protocol","2011; 4 years ago","Clickwrap"
"emesene","Luis Mariano Guerra","2006-05-24","Multi-protocol","2.12.5","GPL"
"Empathy","The GNOME Project","2007-05","Multi-protocol","3.12.7 (October 14, 2014; 7 months ago)","GPL"
"FaceTime","Apple Inc.","2010","Single-protocol","2.0 (July 25, 2012; 2 years ago)","Proprietary"
"Fire","Eric Peyton","1999-04-01","Multi-protocol","1.5.6 (February 16, 2006)","GPL"
"Firetalk","Multitude Communications","1997 -2001","voice/music chat program","","GPL"
"Gadu-Gadu","Łukasz Foltyn / GG Network S.A.","2000-08-15","Single-protocol","*Modern UI: 2.0.0.179
Desktop: 12.0.49.11103 (December 13, 2013; 17 months ago)","Clickwrap"
"Gajim","Yann Le Boulanger","2004-05-21","Single-protocol","0.16 (October 4, 2014; 8 months ago)","GPL"
"Google Hangouts","Google, Inc.","2013-05-15","Single-protocol","","Clickwrap"
"Hookt","Hookt, Inc.","2011-09-14","Single-protocol","","Proprietary"
"Hike","Bharti SoftBank","2012-12-12","Single-protocol","*3.2.0 August 12, 2014; 9 months ago)12
2.6.2.0 July 23, 2014; 10 months ago)23
2.6.2 May 7, 2014; 12 months ago)07
2.6.0 August 12, 2014; 9 months ago)12
2.6.0 (Symbian)","GPL"
"IBM Lotus Sametime","IBM, Ubique","1998","Multi-protocol — proprietary T.120, SIP, XMPP","9.0.0 (September 20, 2013; 20 months ago)","Clickwrap"
"iChat","Apple Inc.","2002-08","Multi-protocol","6.0.1 (1002) (February 1, 2012; 3 years ago), replaced by Messages","Clickwrap"
"ICQ","Mirabilis (AOL)","1996-11","Single-protocol","8.0.5977 (December 14, 2012; 2 years ago)","Clickwrap"
"IMVU","Will Harvey","2001-07","Multiple-protocol","3.0","Clickwrap"
"Instantbird","Florian Quèze","2007","Multi-protocol","1.5 (December 17, 2013; 17 months ago)","GPLv2"
"InTouch Messenger","InTouch App","2015","Single-protocol","1.8.6  May 27, 2015; 15 days ago)27
 1.0.0 (iOS)","Freeware"
"Jitsi","Emil Ivov","2003","Multi-protocol","2.8 (build.5426) (March 19, 2015; 2 months ago)","LGPL"
"Kadu","Kadu Team","2001-08","Multi-protocol","2.0 (February 21, 2015; 3 months ago)","GPLv2"
"KakaoTalk","Kakao Corp.","2010-03-18","single-protocol","* iOS: 5+
 Android: 4+
 Windows Phone: 2+
 BlackBerry: 3+
 Windows 8","Proprietary"
"Kik Messenger","Kik Interactive","2010-10","Multi-protocol","6.2","Freeware"
"Kopete","Kopete Team","2002-03-03","Multi-protocol","1.2.3 (May 4, 2012; 3 years ago)","GPL"
"Libon","Orange S.A.","2012-11-21","","","Proprietary"
"Line","LINE Corporation","2011","","* iOS: 3.8.2
 Android: 3.8.5
 Windows Phone: 2.6.0.137
 BlackBerry: 1.8.23
 Windows 8","Proprietary"
"MCabber","Mikael Berthe","2005-06-07","Single-protocol","0.10.3 (May 8, 2014; 12 months ago)","GPL"
"Meetro","Paul Bragiel & Samuel Stauffer","2005","Multi-protocol","*Windows: 0.96 beta
OS X: 0.53 beta","Clickwrap"
"Messages","Apple Inc.","2012-07-25","Multi-protocol","8.1.3 (January 27, 2015; 4 months ago)","Clickwrap"
