"Name","Language","WMS","WFS","WFS-T","WCS","WMC","SLD","FES","Other"
"Spatial Fusion Server","Java/C++","Yes","Yes","No","No","No","Yes","No","Included with CARIS Spatial Fusion Enterprise."
"Erdas Apollo","Java/C++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","JPIP, WMTS, REST"
"ArcGIS Server",".NET/Java","Yes","Yes","Yes","Yes","No","Yes","","SOAP, REST, KML"
"MapServer","C","Yes","Yes","No","Yes","Yes","Yes","Yes",""
"Deegree","Java","Yes","Yes","Yes","Yes","No","Yes","Yes",""
"GeoMedia WebMap & SDI Pro",".NET/C++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","WMTS"
"GeoServer","Java","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"MapDotNet","C#/.NET","Yes","No","No","No","No","No","No","SOAP and REST feature and map services"
"Manifold System","ASP C#","Yes","Yes","No","No","No","No","No","client and server"
"SpatialFX","Java","Yes","No","No","No","No","No","No","Web-based client and server; REST, KML"
"ZuluServer","C++","Yes","Yes","No","No","No","No","No",""
"Orbit EOS","Java","Yes","No","Yes","No","No","No","No","Publish to clients, webclients, mobile clients. Editing Capabilities."
