"","Windows","OS X","Linux","BSD","Unix","DOS","Android"
"ADMB","Yes","Yes","Yes","No","No","No","No"
"Ch","Yes","Yes","Yes","Yes","Yes","No","No"
"Dyalog APL","Yes","No","Yes","No","Yes","No","No"
"DADiSP","Yes","No","No","No","Yes","No","No"
"Euler Math Toolbox","Yes","No","Yes","No","No","No","No"
"FreeMat","Yes","Yes","Yes","Yes","Yes","No","No"
"GAUSS","Yes","Yes","Yes","No","Yes","No","No"
"IGOR Pro","Yes","Yes","No","No","No","No","No"
"Julia","Yes","Yes","Yes","Yes","No","No","No"
"LabVIEW","Yes","Yes","Yes","No","Yes","No","No"
"Maple","Yes","Yes","Yes","No","Yes","No","No"
"Mathematica","Yes","Yes","Yes","Yes","Yes","No","No"
"MATLAB","Yes","Yes","Yes","Yes","Yes","No","Yes"
"GNU Data Language","No","Yes","Yes","Yes","Yes","No","No"
"GNU Octave","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Origin","Yes","No","No","No","No","No","No"
"Perl Data Language","Yes","Yes","Yes","Yes","Yes","Yes","No"
"R","Yes","Yes","Yes","Yes","Yes","No","No"
"Sage","No","Yes","Yes","No","Yes","No","No"
"SAS","Yes","No","Yes","No","Yes","No","No"
"DataMelt","Yes","Yes","Yes","Yes","Yes","No","Yes"
"S-Lang","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Scilab","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Sysquake","Yes","Yes","Yes","No","No","No","No"
"TK Solver","Yes","No","No","No","No","No","No"
"The Unscrambler","Yes","No","No","No","No","No","No"
"VisSim","Yes","Yes","Yes","No","Yes","No","No"
