"Model","Launch","Code name","Fab (nm)","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"Radeon X700","March 2005","RV410 (alto)","110","128, 256","400","700","8:6:8:8","3200","3200","3200","600","11.2","DDR","128"
"Radeon X700 Pro","March 1, 2005","RV410 (alto)","110","128, 256","425","864","8:6:8:8","3400","3400","3400","637.5","13.824","GDDR3","128"
"Radeon X800 SE","Oct. 2004","R420 (loki)","130","256","425","800","8:6:8:8","3400","6800","3400","637,5","25.6","GDDR3","256"
"Radeon X800 GT","Dec. 6, 2005","R420 (loki)","130","256","475","980","8:6:8:16","3800","7600","3800","712.5","31.36","GDDR3","256"
"Radeon X800","Dec. 2004","R430","110","256","400","700","12:6:12:16","4800","6400","4800","600","22.4","GDDR3","256"
"Radeon X800 GTO","Dec. 6, 2005","R420 (loki)","130","256","400","980","12:6:12:16","4800","6400","4800","600","31.36","GDDR3","256"
"Radeon X800 Pro","May 5, 2004","R420 (loki)","130","256","475","900","12:6:12:16","5700","7600","5700","712.5","28.8","GDDR3","256"
"Radeon X800 XL","Feb. 2, 2005","R430","110","256","400","980","16:6:16:16","6400","6400","6400","600","31.36","GDDR3","256"
"Radeon X800 XT","May 4, 2004","R420 (loki)","130","256","500","1000","16:6:16:16","8000","8000","8000","750","32","GDDR3","256"
"Radeon X800 XT PE","May 4, 2004","R420 (loki)","130","256","520","1120","16:6:16:16","8320","8320","8320","780","35.84","GDDR3","256"
"Radeon X850 Pro","Feb. 28, 2005","R481","130","256","507","1040","12:6:12:16","6084","8112","6084","760.5","33.28","GDDR3","256"
"Radeon X850 XT","Feb. 28, 2005","R481","130","256","520","1080","16:6:16:16","8320","8320","8320","780","34.56","GDDR3","256"
"Radeon X850 XT PE","Feb. 28, 2005","R481","130","256","540","1180","16:6:16:16","8640","8640","8640","810","37.76","GDDR3","256"
