"Client","Encrypted transfer","Encrypted storage","Server changing","Web-based UI","Exporting","Link verification","Duplicate link checker","Notes"
"Arado Websearch","?","No","Yes","Yes","Yes","Yes","Yes","It doesn't provide any server for built-in internet based sync."
"Bookmark","Yes","Yes","No","Yes","No","No","No","Server-side backup, restore of bookmarks, sync profiles so that only certain bookmarks sync to certain browsers. Feb 12, 2012: Doesn't work properly with IE9 (bookmarks don't appear on web UI)."
"BookmarkSync","Yes","No","Yes","Yes","Yes","Yes","Yes","Feb 12, 2012: Sync doesn't work properly."
"Bookmark Sync and Sort","?","No","?","?","?","?","?",""
"Chipmark","?","No","Yes","Yes","Yes","Yes","No","Provides IE plug-in and Firefox extension. Feb 12, 2012: Registration process in official site fails with the following message: ""There was an error communicating with our mail server, or the email address entered was not valid. Registration was not successful. Please try again at a later time.""."
"Link Commander","?","No","?","?","XBEL","?","?","It doesn't provide any server for built-in internet based sync."
"Network Menus","?","No","?","?","?","?","?","Feb 12, 2012: Stops IE9 from loading when trying to install the plug-in."
"Opera Link","Yes","No","No","Yes","Yes","No","Yes (only webbased)",""
"Portable Bookmarks","?","Yes","?","?","XBEL","?","?","It doesn't provide any server for built-in internet based sync: its portability is based on USB drives."
"Power Favorites","?","Yes","?","?","XBEL","Yes","Yes","Extensions for Firefox and Opera. Feb 12, 2012: It doesn't automatically sync with IE9 (export/import based)."
"SyncBookmarks","?","No","?","?","XBEL","?","?","Feb 12, 2012: Last modified timestamp on official download site is 01/02/2007 04:28:512012."
"Firefox Sync","Yes","Yes","Yes","No","No","No","No","Data is encrypted on the client and not accessible even to Mozilla server operators."
"xbelSync","?","No","?","?","XBEL","?","?","It doesn't provide any server for built-in internet based sync."
"Xmarks","Yes","Partial","Yes(Firefox only)","Yes","Yes","No","Yes (web)","Server-side backup, restore of bookmarks, sync profiles so that only certain bookmarks sync to certain browsers; password storage is deprecated, Xmarks recommends using LastPass instead."
"Client","Encrypted transfer","Encrypted storage","server changing","webbased UI","exporting","Link Verification","Duplicate Link Checker","Notes"
