"NMDC hub","Windows","Linux","Mac OS X","Other"
"UFOHub","Yes","No","No","No"
"Eximius","Yes","No","No","No"
"PTDCH","Yes","No","No","No"
"Aquila","Yes","Yes","No","No"
"Dtella","Yes","Yes","Yes","No"
"HeXHub","Yes","No","No","No"
"Open Direct Connect Hub","No","Yes","No","OpenWrt"
"Flexhub","Yes","Yes","No","Qnap and Synology NAS Devices"
"openDCd","Yes","Yes","No","No"
"DDCH DevDirect Connect Hub","Yes","No","No","No"
"DBHub","No","Yes","No","No"
"PtokaX","Yes","Yes","No","FreeBSD, Nexenta, Solaris, Haiku"
"py-dchub","Yes","Yes","Yes","Any Python compatible platform"
"RusHub","Yes","Yes","Yes","FreeBSD, Solaris"
"VerliHub","No","Yes","No","No"
"Yhub","Yes","No","No","No"
"Ynhub","Yes","No","No","No"
"LamaHub","Yes","Yes","Yes","OS/2, OpenBSD, NetBSD, PC-BSD, FreeBSD, ZeX/OS, Android"
"DC Sharp Hub","Yes","No","No","No"
"","","","",""
