"Office suite","Windows","Mac OS X","GNU/Linux","BSD","Unix"
"Apache OpenOffice","Yes","Yes","Yes","Yes","Yes"
"Ability Office","Yes","No","No","No","No"
"Breadbox Office","DOS, Windows","No","No","No","No"
"Calligra Suite","Yes","Yes","Yes","Yes","Yes"
"Feng Office Community Edition","Fully online","Fully online","Fully online","Fully online","Fully online"
"Gobe Productive","Yes","No","No","No","No"
"Google Apps","Fully online","Fully online","Fully online","Fully online","Fully online"
"IBM Lotus Symphony","Yes","Yes","Yes","?","?"
"iWork","No","Yes","No","No","No"
"Kingsoft Office (WPS Office)","Yes","No","some versions","No","No"
"KOffice","Yes","Yes","Yes","Yes","Yes"
"LibreOffice","Yes","Yes","Yes","Yes","Yes"
"Lotus SmartSuite","Yes","No","Some (with Wine)","No","No"
"MarinerPak","No","Yes","No","No","No"
"Microsoft Office","Yes","Partial (not all features available)","Some (with Wine)","No","No"
"Microsoft Works","Yes","Dropped (4.0; Classic only)","No","No","No"
"NeoOffice","No","Mac OS X v10.3 or above","No","No","No"
"OpenOffice.org","Yes","Yes","Yes","Yes","Yes"
"SoftMaker Office","Yes","No","Yes","Dropped (2006)","No"
"StarOffice","Yes","Yes (Intel only)","Yes","Yes","Yes"
"TeXmacs","Yes","Yes","Yes","Yes","Yes"
"TeamLab","Fully online","Fully online","Fully online","Fully online","Fully online"
"ThinkFree Office","Fully online","Fully online","Fully online","Fully online","Fully online"
"Tiki Wiki CMS Groupware","Fully online","Fully online","Fully online","Fully online","Fully online"
"WordPerfect Office","Yes","No","Some (Ver. 2000)","No","No"
"ZCubes","Fully online","Fully online","Fully online","Fully online","Fully online"
"Zoho","Fully online","Fully online","Fully online","Fully online","Fully online"
"Office suite","Windows","Mac OS X","Linux","BSD","Unix"
