"Audio player","Flash","RealPix","QuickTime Video Effects in mov","HTML+TIME(+VML)","smil/smi","SVG","MIDI(smf)","MIDI(kar)","MIDI(xmf)","MIDI(rmi)","MIDI(xmi)","NSF","SPC","PSF",""
"AIMP","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"Amarok","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Audacious","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes",""
"Audion","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"cmus","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Cog","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"foobar2000","No","No","No","No","No","No","Yes (plugin)","?","?","Yes (plugin)","Yes (plugin)","Yes (plugin)","Yes (plugin)","Yes (plugin)",""
"JuK","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Media Jukebox","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"MediaMonkey","?","?","?","?","?","?","?","?","?","?","?","Yes (Winamp plugin)","Yes (Winamp plugin)","Yes (Winamp plugin)",""
"MPXPLAY","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"MusicBee","?","?","?","?","?","?","?","?","?","?","?","Yes","?","?","?"
"Musicmatch Jukebox","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"musikCube","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Rhapsody","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Rhythmbox","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Sonique","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"XMMS","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Zinf","?","?","?","?","?","?","?","?","?","?","?","?","?","?",""
"Audio player","Flash","RealPix","QuickTime Video Effects in mov","HTML+TIME(+VML)","smil/smi","SVG","MIDI(smf)","MIDI(kar)","MIDI(xmf)","MIDI(rmi)","MIDI(xmi)","NSF","SPC","PSF",""
