" ","Selection editing","Layers","Histogram","Scripting","HDR","Retouching","Resizing","Noise removal","Lens correction","Sized Printing","Sharpening","Color correction","Image library","Plug-in support","Non-destructive editing"
"Ability Photopaint","Yes","Yes","Yes","Yes","No","?","Yes","?","?","?","?","?","?","?","?"
"ACD Canvas","Yes","Yes","Yes","Yes","No","?","?","?","?","?","?","?","?","?","?"
"Adobe Photoshop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (Through Mini Bridge)","Yes","No"
"Adobe Photoshop Lightroom","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Aperture","Yes","Partial","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Autodesk SketchBook Pro","Yes","Yes","No","No","No","?","?","?","?","?","Yes","?","?","?","?"
"ArtRage","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","?","?","?"
"Artweaver","Yes","Yes","No","Via plug-in","No","Yes","Yes","Yes","?","?","Yes","Yes","No","Yes","?"
"Bibble","Partial","Partial","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Brush Strokes Image Editor","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Chasys Draw IES","Yes","Yes","Yes","Partial","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"CinePaint","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","?"
"CodedColor PhotoStudio Pro","Yes","Yes","Yes","No","?","?","?","?","?","?","?","?","?","?","?"
"Corel PaintShop Pro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Corel Painter","Yes","Yes","No","Yes","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?"
