"Pump type","Cyclic/continuous ?","Maximum lift height","Production cost","Efficiency","Output","Size of device","Fabrication requirements","Difficulty of production","Durability","Difficulty of repair","Suction lift ?"
"Centrifugal (regenerative) pump","continuous","10m-30m","medium-high","medium","medium","?","?","industrial","?","?","yes"
"Centrifugal (turbine) pump","continuous","3m-200m","medium-high","medium-high","high","?","?","industrial","?","?","yes"
"Centrifugal (volute) pump","continuous","3m-20m","medium","medium-high","high","?","?","industrial","?","?","yes"
"Flap valve pump","?","2m-4m","very low","low-medium","very low","?","?","basic/traditional","?","?","no"
"Inertia pump, joggle pump","cyclic","2m-4m","low-medium","medium-high","low-medium","?","?","traditional, industrial","?","?","no"
"Jet pump (water, air or stream)","continuous","2m-20m","medium","low-medium","low-medium","?","?","industrial","?","?","no"
"Mixed flow pump","continuous","2m-10m","medium-high","medium-high","high","?","?","industrial","?","?","no"
"Propeller (axial flow) pump","continuous","5m-30m","medium-high","medium-high","high","?","?","industrial","?","?","no"
"Rebound inertia","cyclic","2m-60m","medium","medium-high","very low","?","?","industrial","?","?","yes"
"Resonating joggle pump","cyclic","2m-10m","medium","medium-high","medium-high","?","?","traditional","?","?","no"
