"","Trident","Gecko","WebKit","Presto"
"Called as function","Called as function","Called as function","Called as function","Called as function"
"Number([value])","?","Yes","Yes","?"
"Called as constructor","Called as constructor","Called as constructor","Called as constructor","Called as constructor"
"new Number([value])","3.0","1.0","Yes","1.0"
"Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","1.0","Yes","1.0"
"MAX_VALUE","4.0","1.0","Yes","1.0"
"MIN_VALUE","4.0","1.0","Yes","1.0"
"NaN","4.0","1.0","Yes","1.0"
"NEGATIVE_INFINITY","4.0","1.0","Yes","1.0"
"POSITIVE_INFINITY","4.0","1.0","Yes","1.0"
"Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype","Properties of prototype"
"constructor","4.0","1.0","Yes","1.0"
"toString([radix])","4.0","1.0","Yes","1.0"
"toLocaleString()","5.5","1.0","Yes","1.0"
"valueOf()","4.0","1.0","Yes","1.0"
"toFixed(fractionDigits)","5.5","1.0","Yes","1.0"
"toExponential(fractionDigits)","5.5","1.0","Yes","1.0"
"toPrecision(precision)","5.5","1.0","Yes","1.0"
