"Product","Highlight","Annotate","Edit meta-data","Online dictionary","Offline dictionary","Lookup Wikipedia","Translate","Share","TTS support (read aloud)","DRM support","Export to iTunes"
"Apabi Reader","No","No","No","No","No","No","No","Two Chinese websites only","No","No","Yes"
"Blio","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes"
"Bluefire Reader","Yes","Yes","Author, Title, Publisher","Yes","No","No","No","Facebook, Twitter, eMail","No","Yes","Yes"
"DL Reader","Yes","Yes","Author, Title, Publisher","No","No","No","Yes","No","No","Adobe DRM","Yes"
"eBookMobi","No","No","No","No","Yes","No","Yes","eMail","No","No","Yes"
"Ebook Reader","Yes","Yes","No","No","No","No","No","Facebook, Twitter, eMail, Google+","No","Adobe DRM","Yes"
"i2Reader","No","No","No","No","Yes","No","No","eMail","No","No","Yes"
"iBooks","Yes","Yes","No","Yes","Yes","Yes","No","Facebook, Twitter, eMail, SMS","yes, via VoiceOver","Apple FairPlay","Yes"
"Kindle","Yes","Yes","No","Yes","Yes","Yes","No","Facebook, Twitter","No","Yes","Yes"
"Kobo Reading App","Yes","Yes","No","Yes","No","Yes","No","Facebook, Twitter","No","Yes","Yes"
"KyBook","Yes","Yes","Yes","No","Yes","Yes","Yes","Facebook, Twitter, eMail, VKontakte","Yes","No","Yes"
"Marvin","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Facebook, Twitter, eMail, customizable","No","No","Yes"
"MegaReader","No","No","No","No","No","No","No","No","No","No","Yes"
"PocketBook reader","Yes","Yes","No","Yes","Yes","Yes","No","Facebook, Twitter, eMail, SMS","No","Yes","Yes"
"ShuBook","No","No","Author, Title, Label","No","Yes","No","No","Whole book only, eMail","No","No","Yes"
"Stanza","No","Yes","Yes","No","Yes","No","No","Facebook, Twitter, eMail","No","No","Yes"
"uBooks","Yes","No","Yes","No","No","No","Yes","eMail","No","No","Yes"
"iBouquiniste","No","No","No","No","No","Yes","Yes","eMail","Yes","No","Yes"
"","","","","","","","","","","",""
