"","Windows","OS X","Linux","BSD","UNIX","AmigaOS","Symbian","z/OS","iOS","Android","OpenVMS"
"4th Dimension","Yes","Yes","No","No","No","No","No","No","No","No","No"
"ADABAS","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No"
"Adaptive Server Enterprise","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No"
"Advantage Database Server","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Altibase","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"Apache Derby","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","No","No"
"ClustrixDB","No","No","Yes","No","Yes","No","No","No","No","No","No"
"CUBRID","Yes","Partial","Yes","No","No","No","No","No","No","No","No"
"Drizzle","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"DB2","Yes","Yes (Express C)","Yes","No","Yes","No","No","Yes","Yes","No","No"
"Empress Embedded Database","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No"
"EXASolution","No","No","Yes","No","No","No","No","No","No","No","No"
"Firebird","Yes","Yes","Yes","Yes","Yes","No","No","Maybe","No","No","No"
"HSQLDB","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","?","No"
"H2","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","Yes","No"
"FileMaker","Yes","Yes","No","No","No","No","No","No","Yes","No","No"
"Informix Dynamic Server","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"Ingres","Yes","Yes","Yes","Yes","Yes","No","No","Partial","No","No","?"
"InterBase","Yes","Yes","Yes","No","Yes (Solaris)","No","No","No","No","No","No"
"Linter SQL RDBMS","Yes","Yes","Yes","Yes","Yes","No","No","Under Linux on z Systems","Yes","Yes","Yes"
"LucidDB","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"MariaDB","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?","No"
"MaxDB","Yes","No","Yes","No","Yes","No","No","Maybe","No","No","No"
"Microsoft Access (JET)","Yes","No","No","No","No","No","No","No","No","No","No"
"Microsoft Visual Foxpro","Yes","No","No","No","No","No","No","No","No","No","No"
"Microsoft SQL Server","Yes","No","No","No","No","No","No","No","No","No","No"
"Microsoft SQL Server Compact (Embedded Database)","Yes","No","No","No","No","No","No","No","No","No","No"
"MonetDB","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"MySQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No"
"Omnis Studio","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"OpenBase SQL","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"OpenEdge","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"OpenLink Virtuoso","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No"
"Oracle","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes"
"Oracle Rdb","No","No","No","No","No","No","No","No","No","No","Yes"
"Pervasive PSQL","Yes","Yes (OEM only)","Yes","No","No","No","No","No","No","No","No"
"Polyhedra","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","No","No","Under Linux on z Systems","No","Yes","No"
"R:Base","Yes","No","No","No","No","No","No","No","No","No","No"
"RDM","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No"
"RDM Server","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"ScimoreDB","Yes","No","No","No","No","No","No","No","No","No","No"
"SmallSQL","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No"
"solidDB","Yes","No","Yes","No","Yes","No","No","Under Linux on z Systems","No","No","No"
"SQL Anywhere","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"SQLBase","Yes","No","Yes","No","No","No","No","No","No","No","No"
"SQLite","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","No"
"Superbase","Yes","No","No","No","No","Yes","No","No","No","No","No"
"Teradata","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"Tibero","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"UniData","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"UniVerse","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
