"Latin","Spanish","Portuguese","Examples","Meaning"
"cl-, fl-, pl-","ll- or pl","ch-","clamāre → S. llamar, P. chamar 

plumbum → S. plomo, P. chumbo 

flammam → S. llama, P. chama 

plēnvm → S. lleno, P. cheio (also pleno)","'to call' 

'lead' (metal) 

'flame' 

'full'"
"-lt-,","-ch-","-it-","mvltvm → S. mucho, P. muito 

noctem → S. noche, P. noite 

pectvm → S. pecho, P. peito","'much' 

'night' 

'chest'"
"f-","h- 
 (later silent) 
 or f-","f-","fabvlāre → S. hablar, P. falar  

filivm → S. hijo, P. filho 

focvm → S. fuego, P. fogo","'to speak' 
 
'son' 

'fire'"
"j(a)-","ya-","ja-","iam → S. ya, P. já  

iacere → S. yacer, P. jazer (both archaic)","'already' 

'to lie, as in a grave'"
"-l-","-l-","(elided)","caelvm → S. cielo, P. céu (arch. ceo) 
 
volāre → S. volar, P. voar","'sky' 
 
'to fly'"
"-li-","-j-","-lh-","alivm → S. ajo, P. alho 

filivm → S. hijo, P. filho","'garlic' 

'son'"
"-ll-","-ll-","-l-","castellvm → S. castillo, P. castelo","'castle'"
"-n-","-n-","(elided)","generālem → S. general, P. geral 

tenēre → S. tener, P. ter","'general' (adj.) 

'to have'"
"-ni-","-ni-","-nh-","ivnivs → S. junio, P. Junho","'June'"
"-nn-","-ñ-","-n-","ānnvm → S. año, P. ano 

cannam → S. caña, P. cana","'year' 

'reed'"
