"","Data compression","Shell integration","Password protection","Multiple volumes","Self extraction","File repairing","Batch conversion","Unicode file /
directory names","Encryption","Filename Encryption"
"7-Zip","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"ALZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown"
"Archive Utility","Yes","Yes","No","Unknown","No","No","Yes","Yes","Unknown","Unknown"
"ARJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown"
"Ark","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"B1 Free Archiver","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"BetterZip","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Bitser","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"bsdtar/libarchive","No","Yes","No","Yes","No","No","Yes","Yes","Unknown","Unknown"
"Disk ARchiver","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"File Roller","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Filzip","Yes","Yes","Yes","Unknown","Yes","No","No","Unknown","Unknown","Unknown"
"FreeArc","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GNU tar","No","Yes","No","Yes","No","Separate","Yes","Yes","Unknown","Unknown"
"iArchiver","Yes","No","Yes","Yes","No","No","No","Yes","Unknown","Unknown"
"Info-ZIP","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Weak","No"
"IZArc","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"KGB Archiver","Yes","Not enabled by default","Yes","Unknown","Yes","No","No","Yes","Yes","Unknown"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PKZIP","Yes","Yes","Yes","No","Separate","Separate","No","Yes","Unknown","Unknown"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"StuffIt","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown"
"The Unarchiver","No","some formats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"TUGZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown"
"WinAce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown"
"WinRAR","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WinZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XAD","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Xarchiver","Yes","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ZipGenius","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","No","Unknown","Unknown"
"","Data compression","Shell integration","Password protection","Multiple volumes","Self extraction","File repairing","Batch conversion","Unicode file /
directory names","Encryption","Filename Encryption"
