"IDE","License","Written in Java","Windows","Linux","Mac OS X","Other platforms","GUI builder"
"BlueJ","GPL2+GNU linking exception","Yes","Yes","Yes","Yes","Solaris","No"
"Codenvy","Cloud IDE","Yes","Yes","Yes","Yes","Solaris","No"
"DrJava","Permissive","Yes","Yes","Yes","Yes","Solaris","No"
"Eclipse JDT IBM","EPL","Yes","Yes","Yes","Yes","FreeBSD, JVM, Solaris","Yes"
"Geany","GPL","No","Yes","Yes","Yes","FreeBSD, IBM AIX, OpenBSD, Solaris, other Unix","No"
"Greenfoot","GPL","Yes","Yes","Yes","Yes","Solaris","No"
"IntelliJ IDEA","Community Edition:  Apache License v2.0, Ultimate Edition: proprietary","Yes","Yes","Yes","Yes","FreeBSD, OpenBSD, Solaris","Yes"
"JBuilder","Proprietary","Yes","Yes","Yes","Yes","Solaris","Yes"
"JCreator","Proprietary","No","Yes","No","No","","No"
"JDeveloper","Proprietary OTN JDeveloper License (freeware)","Yes","Yes","Yes","Yes","generic JVM","Yes"
"jGRASP","Proprietary (freeware)","Yes","Yes","Yes","Yes","","No"
"KDevelop","GPL","No","No","Yes","No","Solaris","Yes"
"MyEclipse","Proprietary","Yes","Yes","Yes","Yes","FreeBSD, JVM, Solaris","Yes"
"NetBeans","CDDL, GPL2","Yes","Yes","Yes","Yes","OpenBSD, Solaris","Yes"
"Rational Application Developer","Proprietary","Yes","Yes","Yes","No","IBM AIX, Solaris","Yes"
"Servoy","Proprietary","Yes","Yes","Yes","Yes","Solaris","Yes"
"Xcode (Apple)","Proprietary","No","No","No","Yes","","Yes"
