"ADC hub","GUI","CLI","Other","Programming language","Based on"
"ADCH++","No","Yes","?","C++, Lua, Python, Ruby",""
"ADCH++ GUI","Yes","No","?","C++, Python","ADCH++"
"DSHub","Yes","Yes","?","Java, Python",""
"FlexHub","Planned","Yes","?","Lua",""
"Luadch","No","Yes","?","C++, Lua",""
"Luadch GUI","Yes","No","?","wxLua",""
"Nexthub","Yes","No","No","C-Sharp",""
"uhub","No","Yes","?","C",""
"Erlhub","?","?","?","Erlang",""
"Qhub","?","?","?","?",""
"Starlet ADC Hub","No","Yes","No","C",""
"StarHub","Yes","?","?","Java",""
"RusHub","No","Yes","No","C++",""
"ADC hub","GUI","CLI","Other","Programming language","Based on"
