"","Text","Text","Boolean","Enumeration","Object/Universal"
"","Character","String","Boolean","Enumeration","Object/Universal"
"Ada","","","","",""
"ALGOL 68","","","","N/A - User defined","N/A"
"C (C99)","","N/A","","",""
"C++ (STL)","","«","","",""
"Objective-C","","","","",""
"C#","","","","",""
"Java","","","","",""
"Go","","","","",""
"Swift","","","","",""
"D","","","","",""
"Common Lisp","","","","",""
"Scheme","","","","",""
"ISLISP","","","","",""
"Pascal (ISO)","","N/A","","","N/A"
"Object Pascal (Delphi)","","","","",""
"Visual Basic","N/A","","","",""
"Visual Basic .NET","","","","",""
"Xojo","N/A","","","",""
"Python","N/A","","","",""
"JavaScript","N/A","","","",""
"S-Lang","","","","",""
"Fortran","","","","",""
"PHP","N/A","","","",""
"Perl","N/A","","","",""
"Perl 6","","","","",""
"Ruby","N/A","","","",""
"Scala","","","","",""
"Seed7","","","","",""
"Windows PowerShell","","","","",""
"OCaml","","","","N/A","N/A"
"F#","","","","...",""
"Standard ML","","","","N/A","N/A"
"Haskell (GHC)","","","","N/A","N/A"
"Eiffel","","","","N/A",""
"COBOL","","","","N/A",""
"Mathematica","N/A","","","","N/A"
