"OLAP Server","XML for Analysis","OLE DB for OLAP","MDX","Stored procedures","Custom functions","SQL","LINQ","Visualization","JSON"
"Essbase","Yes","Yes","Yes","Yes","Yes","No","Yes","SmartView (Excel-AddIn), WebAnalysis, Financial Reports",""
"icCube","Yes","Yes","Yes","Java, R","Yes","No","Yes","Java, Javascript",""
"Infor BI OLAP Server","Yes","Yes","Yes","OLAP Rules, Push Rules, Application Engine","Yes","Yes","No","Application Studio",""
"Jedox OLAP Server","Yes","Yes","Yes","Cube Rules, SVS Triggers","Yes","No","Yes","?",""
"Microsoft Analysis Services","Yes","Yes","Yes",".NET","Yes","Yes","Yes","Microsoft Excel, Microsoft Power BI",""
"MicroStrategy Intelligence Server","Yes","No","Yes","Yes","Yes","Yes","Yes","?",""
"Mondrian OLAP server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Oracle Database OLAP Option","No","Yes","Yes","Java, PL/SQL, OLAP DML","Yes","Yes","No","?",""
"SAS OLAP Server","Yes","Yes","Yes","No","No","No","Yes","Web Report Studio",""
"SAP NetWeaver BW","Yes","Yes","Yes","No","Yes","No","Yes","?",""
"Cognos TM1","Yes","Yes","Yes","Yes","Yes","No","Yes","TM1 Web/TM1 Contributor, IBM Cognos Insight, IBM Cognos Cafe for Excel",""
"Cubes","No","No","No","No","Yes","No","No","Cubes Viewer","Yes"
