"","RAW imports","BMP","GIF","JPEG","JPEG 2000","HD Photo","PNG","TIFF","PSD","PSP","XCF","PCX"
"Ability Photopaint","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","?"
"ACD Canvas","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","Yes","No","?"
"Adobe Photoshop","Yes","Yes","Yes","Yes","Via plug-in","Yes","Yes","Yes","Yes","No","No","Yes"
"Adobe Photoshop Lightroom","Yes","No","Via plug-in","Yes","Via plug-in","No","Via plug-in","Yes","Partial","?","?","?"
"Adobe Fireworks","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No",""
"Autodesk SketchBook Pro","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No","No"
"ArtRage","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","?"
"Artweaver","No","Yes","Yes","Yes","Partial","","Yes","Yes","Partial","No","No","Yes"
"Bibble","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No"
"Brush Strokes Image Editor","?","Yes","Yes","Yes","No","","Yes","Yes","No","No","No","?"
"Chasys Draw IES","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","No","Yes","Yes"
"CinePaint","Yes","Yes","Yes","Yes","No","","Yes","Yes","Partial","No","Yes","?"
"CodedColor PhotoStudio Pro","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No","Yes"
"Corel PaintShop Pro","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Partial","Yes","No","Yes"
"Corel Painter","?","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","No","Import"
"Corel Photo-Paint","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","Yes"
"Cosmigo Pro Motion","?","Yes","Yes","Yes","No","","Yes","No","No","No","No","Yes"
"darktable","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No"
"Deluxe Paint","No","?","Yes","Yes","No","","Yes","No","No","No","No","?"
"DigiKam","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","?"
