"ADC client","GUI","CLI","WebUI","Programming language","Based on"
"AirDC++","Yes","No","No","C++","StrongDC++"
"AirDC++ nano","No","Yes","No","C++","AirDC++,nanodc"
"ApexDC++","Yes","No","No","C++, Lua","StrongDC++"
"DC++","Yes","No","No","C++",""
"Jucy","Yes","No","No","Java",""
"LinuxDC++","Yes","No","No","C++","DC++"
"EiskaltDC++","Yes","Yes","Yes","C++, Lua","DC++"
"FlylinkDC++","Yes","No","Yes","C++","StrongDC++, DC++, ApexDC speed mode"
"RSX++","Yes","No","No","C++, Lua","StrongDC++"
"TKDC++","Yes","No","No","C++, Lua","StrongDC++, DC++"
"StrongDC++","Yes","No","No","C++","DC++"
"ncdc","No","Yes","No","C",""
"ADC client","GUI","CLI","WebUI","Programming language","Based on"
