"Products","Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing power
GFLOPS","Processing power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Products","Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (watts)","Notes"
"P1","Quadro","NV10GL","220","AGP 4x","64","135","135","166","0:4:4:4","0.54","0.54","2.66","SDR","128","","","7","1.2","",""
"P2","Quadro2 MXR","NV11GL","180","AGP 4x","64","175","175","183","0:2:4:4","0.7","0.7","2.93","SDR","128","","","7","1.2","",""
"P3","Quadro2 EX","NV11GL","180","AGP 4x","64","175","175","166","0:2:4:4","0.7","0.7","2.7","SDR","128","","","7","1.2","",""
"P4","Quadro2 PRO","NV15GL","150","AGP 4x","64","250","250","400","0:4:8:8","2","2","6.4","DDR","128","","","7","1.2","",""
"P5","Quadro DCC","NV20GL","180","AGP 4x","128","200","200","460","1:4:8:8","1.6","1.6","7.4","DDR","128","","","8","1.4","",""
"P6","Quadro4 380XGL","NV18GL","150","AGP 8x","128","275","275","513","0:2:4:4","1.1","1.1","8.2","DDR","128","","","7","1.4","",""
"P7","Quadro4 500XGL","NV17GL","150","AGP 4x","128","250","250","166","0:2:4:4","1","1","2.7","SDR","128","","","7","1.4","",""
"P8","Quadro4 550XGL","NV17GL","150","AGP 4x","64","270","270","400","0:2:4:4","1.08","1.08","6.4","DDR","128","","","7","1.4","",""
"P9","Quadro4 580XGL","NV18GL","150","AGP 8x","64","300","300","400","0:2:4:4","1.2","1.2","6.4","DDR","128","","","7","1.4","",""
"P10","Quadro4 700XGL","NV25","150","AGP 4x","64","275","275","550","2:4:8:8","2.2","2.2","8.8","DDR","128","","","8","1.4","",""
"P11","Quadro4 750XGL","NV25","150","AGP 4x","128","275","275","550","2:4:8:8","2.2","2.2","8.8","DDR","128","","","8","1.5","","Stereo Display"
"P12","Quadro4 900XGL","NV25","150","AGP 4x","128","300","300","650","2:4:8:8","2.4","2.4","10.4","DDR","128","","","8","1.4","","Stereo Display"
"P13","Quadro4 980XGL","NV28GL","150","AGP 8x","128","300","300","650","2:4:8:8","2.4","2.4","10.4","DDR","128","","","8","1.4","","Stereo Display"
"P14","Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (Watts)","Features"
"P15","Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (Watts)","Features"
