"","Windows","Mac OS X","Linux","BSD","Unix"
"ApiGen","Yes","Yes","Yes","Yes","Yes"
"Appledoc","No","Yes","No","No","No"
"Autoduck","Yes","No","No","No","No"
"BI Documenter","Yes","No","No","No","No"
"classdoc","Yes","Yes","Yes","Yes","Yes"
"CppDoc","Yes","No","Yes","No","No"
"DB Manual","Yes","No","No","No","No"
"DBDesc","Yes","No","No","No","No"
"DBScribe","Yes","No","No","No","No"
"Ddoc","Yes","Yes","Yes","Yes","No"
"devscribe","Yes","No","No","No","No"
"Doc-O-Matic","Yes","No","No","No","No"
"DOC++","Yes","Yes?","Yes","Yes","Yes"
"Document! X","Yes","No","No","No","No"
"Doxygen","Yes","Yes","Yes","Yes","Yes"
"Epydoc","Yes","Yes","Yes","Yes","Yes"
"ForgeDoc","Yes","No","No","No","No"
"fpdoc","Yes","Yes","Yes","Yes","Yes"
"GenHelp","Yes","No","No","No","No"
"Haddock","Yes","Yes","Yes","Yes","Yes"
"HeaderDoc","No","Yes","Yes","Yes","Yes"
"Help Generator","Yes","No","No","No","No"
"HyperSQL","Yes","Yes","Yes","Yes","Yes"
"IDLdoc","Yes","Yes","Yes","No","Yes"
"Imagix 4D","Yes","No","Yes","No","Yes"
"Javadoc","Yes","Yes","Yes","Yes","Yes"
"jGrouseDoc","Yes","Yes","Yes","Yes","Yes"
"JSDoc","Yes","Yes","Yes","Yes","Yes"
"JsDoc Toolkit","Yes","Yes","Yes","Yes","Yes"
"KDOC","Partial","Yes","Yes","Yes","Yes"
"mkd","Yes","No?","Yes","Yes","Yes"
"Natural Docs","Yes","Yes","Yes","Yes","Yes"
"NDoc","Yes","No","No","No","No"
"Pandoc","Yes","Yes","Yes","Yes","Yes"
"perldoc","Yes","Yes","Yes","Yes","Yes"
"phpDocumentor","Yes","Yes","Yes","Yes","Yes"
"phpSimpleDoc","Yes","Yes","Yes","Yes","Yes"
"Project Analyzer","Yes","No","No","No","No"
"RDoc","Yes","Yes","Yes","Yes","Yes"
"ROBODoc","Yes","Yes","Yes","Yes","Yes"
"Sandcastle","Yes","No","No","No","No"
"Sphinx","Yes","Yes","Yes","Yes","Yes"
"ThimbleDoc","Yes","Yes","Yes","Yes","Yes"
"TwinText","Yes","No","No","No","No"
"Universal Report","Yes","No","No","No","No"
"VBDOX","Yes","No","No","No","No"
"VBSdoc","Yes","No","No","No","No"
"VSdocman","Yes","No","No","No","No"
"YARD","Yes","Yes","Yes","Yes","Yes"
"","Windows","Mac OS X","Linux","BSD","Unix"
