"Client","Windows 7, Vista","XP, 2000","NT 4.0","NT 3.x","Me, 98","95","3.1x","ReactOS","OS X (Intel/PPC)","OS 9","OS 8","System 7 (PPC/68k)","BeOS, Haiku","OS/2, eCS","AmigaOS (68k)","AmigaOS 4, MorphOS (PPC)","DOS",""
"AdiIRC","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"AmIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No",""
"Bersirc","Yes","Yes","?","No","?","?","No","?","?","No","No","No","No","No","No","No","No",""
"BitchX","Yes","Yes","Yes","No","Yes","Yes","No","?","Yes","No","No","No","?","Yes","Yes","Yes","No",""
"ChatZilla","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No",""
"Colloquy","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"Convos","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"ERC","Yes","Yes","?","No","?","?","No","?","?","No","No","No","No","No","?","?","?",""
"HexChat","Yes","Dropped (2.9.5)","No","No","No","No","No","No","Yes","No","No","No","?","No","No","No","No",""
"HydraIRC","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"IceChat","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"ii (IRC IT)","?","?","?","No","?","?","No","?","Yes","No","No","No","?","No","No","No","Yes",""
"ircII","Yes","Yes","Yes","No","Yes","Yes","No","?","Yes","No","No","No","No","No","No","?","No",""
"IRCjr","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",""
"Ircle","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No",""
"Irssi","Yes","Yes","Yes","No","Yes","Yes","No","?","Yes","No","No","No","Yes","Yes","?","Yes","No",""
"jIRCii","Yes","Yes","Yes","?","Yes","Yes","No","?","Yes","Yes","Yes","?","Yes","Yes","?","Yes","No",""
"KiwiIRC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"Konversation","Partial","Partial","Partial","No","Partial","Partial","No","?","Partial","No","No","No","No","No","No","No","No",""
"KVIrc","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No",""
"LeafChat","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"LeetIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",""
"LimeChat","No","No","No","No","No","No","No","No","Yes{{#tag:ref","group=Note}}","No","No","No","No","No","No","No","No"
"Lingo","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"Linkinus","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"Mibbit","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"mIRC","Yes","Yes","Yes","Partial","Yes","Yes","Partial","?","No","No","No","No","No","No","No","No","No",""
"Neebly","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Nettalk","Yes","Yes","?","No","Partial","No","No","?","No","No","No","No","No","No","No","No","No",""
"Opera","Yes","Yes","Dropped (10.10)","No","Dropped","Dropped","Dropped","No","Dropped","Dropped","Dropped","No","Dropped","Dropped","No","No","No",""
"PChat","Yes","Yes","No","No","No","No","No","No","?","No","No","No","No","No","No","No","No",""
"PIRCH","Yes","Yes","Yes","?","Yes","Yes","Yes","?","No","No","No","No","No","No","No","No","No",""
"PJIRC","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No",""
"Quassel","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"qwebirc","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"rIRC","Yes","Yes","Yes","?","?","?","?","?","No","No","No","No","No","No","No","No","No",""
"rcirc","Yes","Yes","?","?","No","No","No","No","?","No","No","No","No","No","No","No","No",""
"Scrollback","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"Smuxi","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"Snak","No","No","No","No","No","No","No","No","Yes","Yes","Yes","?","No","No","No","No","No",""
"Textual","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"Visual IRC","Yes","Yes","Yes","No","Yes","Yes","No","?","No","No","No","No","No","No","No","No","No",""
"WeeChat","Partial","Partial","Partial","No","Partial","Partial","No","?","Yes","No","No","No","Partial","No","No","No","No",""
"XChat","Yes","Yes","Yes","?","Yes","Yes","No","?","Yes","No","No","No","?","?","No","No","No",""
"Client","Windows 7, Vista","XP, 2000","NT 4.0","NT 3.x","Me, 98","95","3.1x","ReactOS","OS X (Intel/PPC)","OS 9","OS 8","System 7 (PPC/68k)","BeOS, Haiku","OS/2, eCS","AmigaOS (68k)","AmigaOS 4, MorphOS (PPC)","DOS",""
