"Research Networking Tool","Thesaurus/Controlled Vocabulary Used","Ontology/Ontologies Supported","Automatic Author Disambiguation"
"Academic Room","unknown","unknown","No"
"Activity Insight","Yes","Fully customizable data collection screens; campus, college and department-defined ontologies","Yes"
"C-IKNOW","Not applicable","Uses elements of FOAF and Dublin Core in RDF; uses Pellet reasoning engine","No (but can be done in conjunction with software developed at Northwestern University)"
"Collaborative Partnership / Profile System","Unknown","Unknown","In development"
"Community Academic Profiles - CAP","MeSH","Unknown","Yes  (partial)"
"Converis","In some fields","CASRAI, VIVO","Yes (Author clustering capabilities used to match authors with papers)"
"Curvita Profile Manager","Unknown","Unknown","No"
"CUSP - Columbia University Scientific Profiles","Unknown","Unknown","Yes"
"Digital Vita","Unknown","Unknown","No (but can be done manually by authors)"
"Elsevier's Pure (now integrated with SciVal Experts)","""Elsevier Fingerprinting Engine"" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.","Maps to VIVO ontology","Yes"
"Elsevier's SciVal","""Elsevier Fingerprinting Engine"" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.","Maps to VIVO ontology","Yes"
"Epernicus Solutions & Epernicus Network","Unknown","Unknown","No (can be done manually by authors)"
"ERIM Member Profile System (ERIM MIS)","Unknown","Unknown","Yes uses author ID numbers"
"EUREKA! Enhancing Student Research","Unknown","Unknown","No"
"Expertise @ Maryland","Unknown","Unknown","Yes"
"Faculty Profile System","Unknown","Unknown","No"
"Faculty Research Information Profile (FRIP)","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","Unknown","Unknown","Unknown"
"GENIUS","Unknown","Unknown","No"
"Google","None (Google uses generic keywords)","Unknown","No (but can be done manually through Google Scholar ""My Citations"" functionality)"
"HUBzero","Unknown","Unknown","No"
"iamResearcher","Unknown","Unknown","No"
"iAMscientist","Unknown","Unknown","No"
"i2iConnect","Unknown","Unknown","No"
"InCites","In some fields","Unknown","No (Though InCites can accept data from ResearcherID and Converis profiling systems for disambiguation)"
"INDURE","Unknown","Unknown","N/A"
"LatticeGrid","MeSH","Uses elements of FOAF and other ontologies","No (but can be done manually by authors)"
"Lattes Database","Unknown","Unknown","Unknown"
"LinkedIn","None","Unknown","No"
"Life Science Network","Unknown","Unknown","No (but can be done manually)"
"Loki","Unknown","Unknown","Yes (uses campus directory for authentication)"
"McCormick Collaboration Visualization Tool","None","Unknown","Yes"
"MizzouLinks","Unknown","Unknown","No"
"MyScienceWork","Unknown","Unknown","No"
"OSU:pro","Unknown","Unknown","Unknown"
"Pivot","Unknown","Unknown","Yes"
"Profiles","MeSH, others are being developed to go beyond the life and biomedical sciences","VIVO RDF ontology with additional Profiles RDF classes and properties","Yes Harvard Profiles uses an XML-based ""disambiguation service"" to import Medline publications and uses configurable heuristics in its disambiguation algorithm"
"ReachNC","Scopus taxonomy uses MeSH and general keywords","Maps to VIVO ontology","Yes"
"Research Accelerator","Unknown","Unknown","No"
"ResearcherID","Unknown","Unknown","No (although authors can build their publication list and manually disambiguate)"
"SciENcv","No thesaurus used","Unknown","No"
"Symplectic Elements","MeSH, Fields of Research, ScienceMetrix.","Supports mapping of publication, person and grants data to the VIVO ontology via their open source VIVO Harvester Extension.","Yes"
"VIVO","VIVO uses several thesauri that are available through Semantic Web, including MeSH","The VIVO Ontology was developed and supported by NIH-funded efforts and continues to be developed and built upon through SourceForge and in collaboration with the eagle-i project.","Yes"
"Yaffle","Unknown","Unknown","Unknown"
