"Assembler","Open source","License","Instruction set","Host platform","Active Development"
"A68K","No","Free","Motorola 680x0","Commodore Amiga","No"
"ASM-One Macro Assembler","No","Free","Motorola 680x0","Commodore Amiga","No"
"Digital Research Assembler","No","Proprietary","Motorola 680x0","Atari ST","No"
"Fantasm","No","Proprietary","Motorola 680x0","Apple Macintosh","No"
"GFA-Assembler","No","Proprietary","Motorola 680x0","Atari ST","No"
"GST Macro Assembler","No","Proprietary","Motorola 680x0","Atari ST","No"
"HiSoft DevPac Assembler","No","Proprietary","Motorola 680x0","Commodore Amiga, Atari ST","No"
"Mac Assembler","No","Proprietary","Motorola 680x0","Apple Macintosh","No"
"MaxonASM","No","Proprietary","Motorola 680x0","Commodore Amiga","No"
"Metacomco Macro Assembler","No","Proprietary","Motorola 680x0","Commodore Amiga, Atari ST","No"
"MPW Assembler","No","Proprietary","Motorola 680x0","Apple Macintosh","No"
"OMA","No","Proprietary","Motorola 680x0","Commodore Amiga","No"
"PhxAss","No","Free","Motorola 680x0","Commodore Amiga","No"
"Pure Assembler","No","Proprietary","Motorola 680x0","Atari ST","No"
"Data Becker Profimat","No","Proprietary","Motorola 680x0","Atari ST","No"
"Seka Assembler","No","Proprietary","Motorola 680x0","Commodore Amiga, Atari ST","No"
"TurboAss","No","Free","Motorola 680x0","Atari ST","No"
"vasm","Yes","Free","Motorola 680x0","various","Yes"
