"Name","Mac OS X","Mac OS classic","Windows","Cygwin","BSD","Linux","Solaris","Java","OpenVMS","z/OS","AmigaOS","AIX","HPUX","iOS: iPhone, iPod Touch","webOS","Android"
"Apache MINA SSHD","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No"
"Attachmate Reflection for Secure IT","No","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No"
"Bitvise SSH Server","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Copssh","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"CrushFTP Server","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No"
"Dropbear","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes"
"freeSSHd","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"KpyM SSH Server","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"GoAnywhere Services","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes"
"lsh","Yes","No","No","No","Partial","Yes","Yes","No","No","No","No","No","No","No","No","??"
"Maverick SSHD","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes"
"MobaSSH SSH Server","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenSSH","Included","No","No","Included","Included","Included","Yes","No","Yes","Yes","Yes","Yes","Included","Yes","Yes","Partial"
"Pragma Fortress SSH Server","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","??"
"Tectia SSH Server","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","??"
"PowerShell Server","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SilverSHielD","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Georgia SoftWorks SSH Server","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Syncplify.me Server","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"TinySSH","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No"
