"Distribution","Founder","Maintainer","Initial release year","Current stable version","Security updates (years)","Release date","System distribution commitment","Forked from","Target audience","Cost"
"Alpine Linux","Alpine Linux Team","Alpine Linux Team","2006","3.1.0","?","2014-12-10","X","","network, lightweight","Gratis"
"ALT Linux","ALT Linux Team","ALT Linux Team, ALT Linux LLC","2001","?","?","?","X","Mandriva Linux","general, school","Gratis"
"antiX","Anticapitalista","Anticapitalista","2007","13.2","?","2013-11-05","X","Debian - MEPIS","old computers","Gratis"
"ArchBang","","Stan McLaren","2010","?","?","?","X","Arch Linux","general","Gratis"
"Arch Linux","Judd Vinet","dev team","2002","?","","?","X","","simple, customisers","Gratis"
"BLAG","Brixton Linux Action Group","Brixton Linux Action Group","2002","140k","?","2011-05-04","100% Free: GNU FSDG","Fedora","desktop","Gratis"
"Bodhi Linux","Bodhi Linux Team","Bodhi Linux Team","2011","2.4.0","?","2013-09-13","X","Debian, Ubuntu","desktop","Gratis"
"CentOS","CentOS Project","CentOS Project","2003","7.0","10 years","2014-07-07","X","Red Hat Enterprise Linux (RHEL)","server, workstation","Gratis"
"Chakra","Jan Mette and Arch Linux KDEmod developers","The Chakra Project Team","2010","?","?","?","X","(originally forked from Arch Linux)","desktop","Gratis"
"Chromium OS","?","?","2009","?","?","?","X","Chrome OS","web applications","Gratis"
"ClearOS","Peter Baldwin","ClearFoundation","2000","6.5.0","?","2013-12-20","X","RHEL, CentOS","server, gateway, network","Gratis"
"CrunchBang Linux","Philip Newborough","Philip Newborough","2008","11","?","2013-05-06","X","Debian","desktop","Gratis"
"Damn Small Linux","John Andrews","dev team","2003","4.4.10","?","2008-11-18","X","Debian, Knoppix","portable, lightweight","Gratis"
"Debian","Ian Murdock","Debian Project","1993","8.0","~3 years","2015-04-25","Debian Social Contract","","general, server, desktop","Gratis"
"Debox GNU/Linux","MFD2HDx","Debox Project","2014","Debian","2014","","X","Debian, OpenBox","general","Gratis"
"Dragora GNU/Linux-Libre","Matias A. Fonzo","Matias A. Fonzo","2009","2.2","?","2012-04-21","100% Free: GNU FSDG","","general","Gratis"
"dyne:bolic","Jaromil","Jaromil","2005","3.0.0","?","2011-09-08","100% Free: GNU FSDG","Debian","multimedia","Gratis"
"Elementary OS","Daniel Foré","elementary","2011","0.2","?","2013-08-10","X","Ubuntu","general","Gratis"
"ELinOS","SYSGO","SYSGO","1999","?","?","?","X","","embedded system","?"
"Elive","Thanatermesis","Thanatermesis","2005","2.0","?","2010-03-04","X","Debian","desktop","Gratis"
"Emdebian Grip","Embedded Debian Project","Embedded Debian Project","2009","?","?","?","X","Debian","embedded system","Gratis"
