"","E-mail client","HTML editor","Collaborative software","Online editing"
"Ability Office","No","No","No","No"
"Breadbox Office","Yes","Yes","No","No"
"Calligra Suite","Kontact","Kate, Quanta+","No","No"
"Feng Office Community Edition","beta","No","Yes","Yes"
"GobeProductive","No","Yes","No","No"
"Google Apps","Gmail","Google Sites","Yes","fully online"
"IBM Lotus Symphony","No","No","No","No"
"iWork","Mail","No","Yes","iCloud"
"Kingsoft Office (WPS Office)","No","No","No","Yes"
"LibreOffice","No, but can interface with email client","LibreOffice Writer","LibreOffice Calc","With free plugins"
"Lotus SmartSuite","No","Lotus FastSite","Yes","No"
"MarinerPak","No","No","No","No"
"Microsoft Office","Microsoft Outlook (Not included in
Microsoft Office 2013
Home & Student)","Microsoft SharePoint Designer","Microsoft SharePoint","Office Online"
"Microsoft Works","No","No","No","Microsoft Office Live"
"NeoOffice","No","NeoOffice Writer","No","No"
"OpenOffice.org","No","OpenOffice Writer","No","With free plugins"
"ShareOffice","No","No","Yes","Fully online"
"SoftMaker Office","No","No","No","No"
"StarOffice","No","StarWriter","No","With free plugins"
"TeXmacs","allows to read emails","Yes","under development","No"
"TeamLab","No","Yes","Yes","Yes"
"ThinkFree Office","No","Note","No","ThinkFree.com"
"Tiki Wiki CMS Groupware","Tiki Webmail","WYSIWYG editor via CKEditor","Yes","Fully online"
"WordPerfect Office","has mail merge capabilities","No","No","Yes"
"ZCubes","No","Yes","Yes","Yes"
"Zoho Office Suite","Zoho Mail","Zoho Writer","Yes","Yes"
"","E-mail client","HTML editor","Collaborative software","Online editing"
