"Platform","Developer","Publisher","Released"
"Commodore Amiga","DMA Design","Psygnosis","14 Feb 1991"
"Atari ST","DMA Design","Psygnosis","Mar 1991"
"MS-DOS","DMA Design","Psygnosis","21 Jul 1991"
"ZX Spectrum","DMA Design?","Psygnosis","1991"
"Commodore Amiga CDTV","DMA Design","Psygnosis","1991?"
"SNES","Sunsoft","Sunsoft","18 Dec 1991"
"Arcade (prototype only)","Data East USA","TBA","unreleased (developed in 1991)"
"PC-98","BANDIT Inc.","Imagineer","1991"
"Acorn Archimedes","Krisalis Software","Krisalis Software","1992"
"NES","Ocean Software","Sunsoft","1992"
"TurboGrafx-CD","Kuusoukagaku Corp.","Sunsoft","Nov 1992"
"Atari Lynx","DMA Design","Psygnosis","1992"
"Sega Master System","Probe Software Limited","Sega","1992"
"Sega Genesis / Mega Drive","Sunsoft","Sunsoft/Sega","1992"
"Amstrad CPC","DMA Design","Psygnosis","1992"
"SAM Coupé","Chris White","FRED Publishing","1993"
"Commodore 64","E & E Software","Psygnosis","1993"
"Commodore Amiga CD32","DMA Design","Psygnosis","1994?"
"CD-i","DMA Design","Philips Interactive Media","1994"
"Sega Game Gear","Probe Software Limited","Sega","1994"
"Game Boy","Ocean Software","Ocean Software","1994"
"3DO","DMA Design","Psygnosis","1994"
"Windows 95","Visual Sciences","Psygnosis","1995"
"Apple Macintosh","DMA Design","Psygnosis","1995"
"OS/2 (demo only)","?","Psygnosis","1995"
"Apple II","Brutal Deluxe Software","DMA Design","1997"
"PlayStation","Distinctive Developments","Psygnosis","1998"
"Game Boy Color","Take-Two Interactive","Take-Two Interactive?","2000"
"Cambridge Z88","Dominic Morris","?","2000"
"Mobile phone (Java ME)","?","?","2005"
"Amstrad GX4000","DMA Design","Psygnosis","1993"
"PlayStation Portable","Team17","Sony Computer Entertainment","Mar 2006 (Japan/Europe)
May 2006 (North America)"
"PlayStation 2","Team17","Sony Computer Entertainment","Oct 2006 (Japan/Europe)"
